name	wt 15' 0.4M - wt 0
YPR107C	1.6387450985
YEL056W	1.6377593396
YIR038C	1.6376250618
YLR271W	1.6374706504
YNL042W	1.6359613697
YPR028W	1.635631915
YLR043C	1.6323730306
YBR046C	1.6307848465
YKL171W	1.6297144691
YML120C	1.6282463648
YPL219W	1.6223027826
YLR284C	1.6220961375
YJL213W	1.6203812704
YHR043C	1.6177559838
YBR160W	1.6171253695
YLR109W	1.6131120892
YKL138C-A	1.6114678031
YLR257W	1.605346905
YKL188C	1.6040377298
YDL027C	1.6033453714
YKL119C	1.6028898644
YMR060C	1.6028258242
YOR120W	1.6003849015
YBR182C	1.5999131327
YJL103C	1.5997326311
YMR087W	1.5995900025
YML113W	1.5986519199
YMR043W	1.5985841845
YOR089C	1.5969284614
YKR098C	1.5964175987
YDR374W-A	1.5929361114
YKL121W	1.5925250057
YOR157C	1.5925042624
YDR425W	1.5882132376
YDR066C	1.5878618431
YPL260W	1.5803894251
YJL166W	1.5766156222
YBR101C	1.5762265908
YOL087C	1.575813457
YLR006C	1.574260254
YGL147C	1.569973636
YNL251C	1.5664512013
YHR141C	1.5650143486
YNL100W	1.5638074712
YFL021W	1.5632696626
YKL189W	1.5625011102
YMR114C	1.5610631891
YLL023C	1.558187348
YFR008W	1.5571282166
YGL124C	1.5566173274
YOR162C	1.5563996744
YMR159C	1.556314941
YMR030W	1.5545930792
YDR255C	1.5536799953
YGL249W	1.5524004344
YML030W	1.5522654856
YNL208W	1.5496222888
YDL091C	1.5494917363
SRG1, YER081W	1.5477622435
YNL133C	1.5477131821
YKL109W	1.5474143487
YOR267C	1.5471736971
YCL048W-A	1.5470279447
YDR202C	1.5438536871
YGL080W	1.5430697453
YDR379W	1.5420710851
YGL156W	1.5404991111
YMR156C	1.5391170391
YNR032C-A	1.5380988008
YCR091W	1.5378959383
YJL150W, YJL149W	1.5376139364
YDL234C	1.5367126168
YGL219C	1.5359937072
YOR275C	1.5359836224
YPL236C	1.5357983627
YGL125W	1.5353177467
YOR227W	1.5350852857
YDL085W	1.5350812942
YNL093W	1.5345908587
YPR155C	1.5329510676
YMR090W	1.531592016
YOL133W	1.5311154192
YDR323C	1.5309223252
YKL193C	1.5288339842
YOR372C	1.5283415538
