ensembl_transcript_id	ensembl_gene_id	external_gene_name
ENST00000190165	ENSG00000064218	DMRT3
ENST00000190611	ENSG00000079156	OSBPL6
ENST00000192314	ENSG00000154252	GAL3ST2
ENST00000192788	ENSG00000065060	UHRF1BP1
ENST00000193322	ENSG00000081087	OSTM1
ENST00000193391	ENSG00000081148	IMPG2
ENST00000193403	ENSG00000072110	ACTN1
ENST00000194130	ENSG00000081800	SLC13A1
ENST00000194152	ENSG00000081818	PCDHB4
ENST00000194155	ENSG00000112852	PCDHB2
ENST00000194214	ENSG00000081870	HSPB11
ENST00000194530	ENSG00000082146	STRADB
ENST00000196061	ENSG00000083444	PLOD1
ENST00000196371	ENSG00000083720	OXCT1
ENST00000196489	ENSG00000083817	ZNF416
ENST00000197268	ENSG00000084444	FAM234B
ENST00000198536	ENSG00000085514	PILRA
ENST00000198767	ENSG00000085721	RRN3
ENST00000198801	ENSG00000166391	MOGAT2
ENST00000199280	ENSG00000167580	AQP2
ENST00000199320	ENSG00000086189	DIMT1
ENST00000199389	ENSG00000086232	EIF2AK1
ENST00000199447	ENSG00000086288	NME8
ENST00000199448	ENSG00000086289	EPDR1
ENST00000199706	ENSG00000086504	MRPL28
ENST00000199708	ENSG00000086506	HBQ1
ENST00000199764	ENSG00000086548	CEACAM6
ENST00000199814	ENSG00000086589	RBM22
ENST00000199936	ENSG00000086696	HSD17B2
ENST00000200135	ENSG00000086827	ZW10
ENST00000200453	ENSG00000087074	PPP1R15A
ENST00000200457	ENSG00000087077	TRIP6
ENST00000200557	ENSG00000073670	ADAM11
ENST00000200652	ENSG00000197208	SLC22A4
ENST00000200676	ENSG00000087237	CETP
ENST00000200691	ENSG00000087250	MT3
ENST00000201031	ENSG00000087510	TFAP2C
ENST00000201586	ENSG00000088002	SULT2B1
ENST00000201647	ENSG00000131037	EPS8L1
ENST00000201979	ENSG00000088320	REM1
ENST00000202017	ENSG00000088356	PDRG1
ENST00000202556	ENSG00000088808	PPP1R13B
ENST00000202625	ENSG00000166948	TGM6
ENST00000202677	ENSG00000188559	RALGAPA2
ENST00000202773	ENSG00000089009	RPL6
ENST00000202816	ENSG00000089048	ESF1
ENST00000202967	ENSG00000089163	SIRT4
ENST00000203001	ENSG00000089195	TRMT6
