ensembl_gene_id	external_gene_name	salt	hog1DepSaltExt
YAL014C	SYN8	unresponsive	unresponsive
YAL015C	NTG1	unresponsive	unresponsive
YAL016C-A		unresponsive	unresponsive
YAL016C-B		unresponsive	unresponsive
YAL016W	TPD3	unresponsive	unresponsive
YAL017W	PSK1	upregulated	upregulated_Hog1_independent
YAL018C	LDS1	unresponsive	unresponsive
YAL019W	FUN30	downregulated	downregulated_Hog1_independent
YAL019W-A		unresponsive	unresponsive
YAL020C	ATS1	unresponsive	unresponsive
YAL021C	CCR4	unresponsive	unresponsive
YAL022C	FUN26	unresponsive	unresponsive
YAL023C	PMT2	unresponsive	unresponsive
YAL024C	LTE1	unresponsive	unresponsive
YAL025C	MAK16	downregulated	downregulated_Hog1_independent
YAL026C	DRS2	unresponsive	unresponsive
YAL026C-A		unresponsive	unresponsive
YAL027W	SAW1	unresponsive	unresponsive
YAL028W	FRT2	upregulated	upregulated_Hog1_independent
YAL029C	MYO4	unresponsive	unresponsive
YAL030W	SNC1	unresponsive	unresponsive
YAL031C	GIP4	unresponsive	unresponsive
YAL031W-A		unresponsive	unresponsive
YAL032C	PRP45	unresponsive	unresponsive
YAL033W	POP5	unresponsive	unresponsive
YAL034C	FUN19	upregulated	upregulated_Hog1_dependent
YAL034C-B		unresponsive	unresponsive
YAL034W-A	MTW1	unresponsive	unresponsive
YAL035W	FUN12	downregulated	downregulated_Hog1_independent
YAL036C	RBG1	downregulated	downregulated_Hog1_independent
YAL037C-A		unresponsive	unresponsive
YAL037C-B		unresponsive	unresponsive
YAL037W		unresponsive	unresponsive
YAL038W	CDC19	unresponsive	unresponsive
YAL039C	CYC3	unresponsive	unresponsive
YAL040C	CLN3	unresponsive	unresponsive
YAL041W	CDC24	unresponsive	unresponsive
YAL042C-A		unresponsive	unresponsive
YAL042W	ERV46	unresponsive	unresponsive
YAL043C	PTA1	unresponsive	unresponsive
YAL044C	GCV3	unresponsive	unresponsive
YAL044W-A		unresponsive	unresponsive
YAL045C		unresponsive	unresponsive
YAL046C	AIM1	unresponsive	unresponsive
YAL047C	SPC72	unresponsive	unresponsive
YAL047W-A		unresponsive	unresponsive
YAL048C	GEM1	unresponsive	unresponsive
YAL049C	AIM2	unresponsive	unresponsive
YAL051W	OAF1	unresponsive	unresponsive
YAL053W	FLC2	unresponsive	unresponsive
YAL054C	ACS1	unresponsive	unresponsive
YAL055W	PEX22	unresponsive	unresponsive
YAL056C-A		unresponsive	unresponsive
YAL056W	GPB2	unresponsive	unresponsive
YAL058W	CNE1	unresponsive	unresponsive
YAL059C-A		unresponsive	unresponsive
YAL059W	ECM1	downregulated	downregulated_Hog1_independent
YAL060W	BDH1	upregulated	upregulated_Hog1_independent
YAL061W	BDH2	upregulated	upregulated_Hog1_dependent
YAL062W	GDH3	unresponsive	unresponsive
YAL063C	FLO9	unresponsive	unresponsive
YAL063C-A		unresponsive	unresponsive
YAL064C-A	TDA8	unresponsive	unresponsive
YAL064W		unresponsive	unresponsive
YAL064W-B		unresponsive	unresponsive
YAL065C		unresponsive	unresponsive
YAL067C	SEO1	unresponsive	unresponsive
YAL068C	PAU8	unresponsive	unresponsive
YAR002C-A	ERP1	unresponsive	unresponsive
YAR002W	NUP60	unresponsive	unresponsive
YAR003W	SWD1	unresponsive	unresponsive
YAR007C	RFA1	unresponsive	unresponsive
YAR008W	SEN34	downregulated	downregulated_Hog1_independent
YAR009C		unresponsive	unresponsive
YAR014C	BUD14	unresponsive	unresponsive
YAR015W	ADE1	downregulated	downregulated_Hog1_independent
YAR018C	KIN3	unresponsive	unresponsive
YAR019C	CDC15	unresponsive	unresponsive
YAR019W-A		unresponsive	unresponsive
YAR020C	PAU7	unresponsive	unresponsive
YAR023C		unresponsive	unresponsive
YAR027W	UIP3	upregulated	upregulated_Hog1_independent
YAR028W		unresponsive	unresponsive
YAR029W		unresponsive	unresponsive
YAR030C		unresponsive	unresponsive
YAR031W	PRM9	unresponsive	unresponsive
YAR033W	MST28	unresponsive	unresponsive
YAR035W	YAT1	unresponsive	unresponsive
YAR042W	SWH1	unresponsive	unresponsive
YAR047C		unresponsive	unresponsive
YAR050W	FLO1	unresponsive	unresponsive
YAR053W		unresponsive	unresponsive
YAR064W		unresponsive	unresponsive
YAR066W		unresponsive	unresponsive
YAR068W		unresponsive	unresponsive
YAR071W	PHO11	unresponsive	unresponsive
YAR073W	IMD1	unresponsive	unresponsive
YAR075W		unresponsive	unresponsive
YBL001C	ECM15	unresponsive	unresponsive
YBL002W	HTB2	unresponsive	unresponsive
YBL003C	HTA2	unresponsive	unresponsive
YBL004W	UTP20	downregulated	downregulated_Hog1_independent
YBL005W	PDR3	unresponsive	unresponsive
YBL005W-B		unresponsive	unresponsive
YBL006C	LDB7	unresponsive	unresponsive
YBL006W-A		unresponsive	unresponsive
YBL007C	SLA1	unresponsive	unresponsive
YBL008W	HIR1	unresponsive	unresponsive
YBL008W-A		unresponsive	unresponsive
YBL009W	ALK2	downregulated	downregulated_Hog1_independent
YBL010C		unresponsive	unresponsive
YBL011W	SCT1	unresponsive	unresponsive
YBL012C		unresponsive	unresponsive
YBL013W	FMT1	unresponsive	unresponsive
YBL014C	RRN6	unresponsive	unresponsive
YBL015W	ACH1	upregulated	upregulated_Hog1_independent
YBL016W	FUS3	unresponsive	unresponsive
YBL017C	PEP1	unresponsive	unresponsive
YBL018C	POP8	downregulated	downregulated_Hog1_independent
YBL019W	APN2	unresponsive	unresponsive
YBL020W	RFT1	unresponsive	unresponsive
YBL021C	HAP3	unresponsive	unresponsive
YBL022C	PIM1	unresponsive	unresponsive
YBL023C	MCM2	unresponsive	unresponsive
YBL024W	NCL1	downregulated	downregulated_Hog1_independent
YBL025W	RRN10	unresponsive	unresponsive
YBL026W	LSM2	unresponsive	unresponsive
YBL027W	RPL19B	unresponsive	unresponsive
YBL028C		downregulated	downregulated_Hog1_independent
YBL029C-A		upregulated	upregulated_Hog1_independent
YBL029W		unresponsive	unresponsive
YBL030C	PET9	unresponsive	unresponsive
YBL031W	SHE1	unresponsive	unresponsive
YBL032W	HEK2	unresponsive	unresponsive
YBL033C	RIB1	unresponsive	unresponsive
YBL034C	STU1	unresponsive	unresponsive
YBL035C	POL12	downregulated	downregulated_Hog1_independent
YBL036C		unresponsive	unresponsive
YBL037W	APL3	unresponsive	unresponsive
YBL038W	MRPL16	unresponsive	unresponsive
YBL039C	URA7	downregulated	downregulated_Hog1_independent
YBL039W-B		unresponsive	unresponsive
YBL040C	ERD2	unresponsive	unresponsive
YBL041W	PRE7	unresponsive	unresponsive
YBL042C	FUI1	downregulated	downregulated_Hog1_dependent
YBL043W	ECM13	unresponsive	unresponsive
YBL044W		unresponsive	unresponsive
YBL045C	COR1	unresponsive	unresponsive
YBL046W	PSY4	unresponsive	unresponsive
YBL047C	EDE1	unresponsive	unresponsive
YBL048W	RRT1	upregulated	upregulated_Hog1_independent
YBL049W	MOH1	upregulated	upregulated_Hog1_independent
YBL050W	SEC17	unresponsive	unresponsive
YBL051C	PIN4	unresponsive	unresponsive
YBL052C	SAS3	unresponsive	unresponsive
YBL053W		unresponsive	unresponsive
YBL054W	TOD6	downregulated	downregulated_Hog1_independent
YBL055C		unresponsive	unresponsive
YBL056W	PTC3	unresponsive	unresponsive
YBL057C	PTH2	unresponsive	unresponsive
YBL058W	SHP1	unresponsive	unresponsive
YBL059C-A	CMC2	unresponsive	unresponsive
YBL059W		unresponsive	unresponsive
YBL060W	YEL1	unresponsive	unresponsive
YBL061C	SKT5	unresponsive	unresponsive
YBL062W		unresponsive	unresponsive
YBL063W	KIP1	unresponsive	unresponsive
YBL064C	PRX1	upregulated	upregulated_Hog1_dependent
YBL065W		unresponsive	unresponsive
YBL066C	SEF1	unresponsive	unresponsive
YBL067C	UBP13	unresponsive	unresponsive
YBL068W	PRS4	downregulated	downregulated_Hog1_independent
YBL069W	AST1	unresponsive	unresponsive
YBL070C		unresponsive	unresponsive
YBL071C		unresponsive	unresponsive
YBL071C-B		unresponsive	unresponsive
YBL071W-A	KTI11	downregulated	downregulated_Hog1_independent
YBL072C	RPS8A	unresponsive	unresponsive
YBL073W		unresponsive	unresponsive
YBL074C	AAR2	unresponsive	unresponsive
YBL075C	SSA3	upregulated	upregulated_Hog1_independent
YBL076C	ILS1	downregulated	downregulated_Hog1_independent
YBL077W		unresponsive	unresponsive
YBL078C	ATG8	upregulated	upregulated_Hog1_independent
YBL079W	NUP170	unresponsive	unresponsive
YBL080C	PET112	unresponsive	unresponsive
YBL081W		downregulated	downregulated_Hog1_independent
YBL082C	ALG3	unresponsive	unresponsive
YBL083C		unresponsive	unresponsive
YBL084C	CDC27	unresponsive	unresponsive
YBL085W	BOI1	unresponsive	unresponsive
YBL086C		upregulated	upregulated_Hog1_independent
YBL087C	RPL23A	unresponsive	unresponsive
YBL088C	TEL1	unresponsive	unresponsive
YBL089W	AVT5	unresponsive	unresponsive
YBL090W	MRP21	unresponsive	unresponsive
YBL091C	MAP2	unresponsive	unresponsive
YBL091C-A	SCS22	unresponsive	unresponsive
YBL092W	RPL32	unresponsive	unresponsive
YBL093C	ROX3	unresponsive	unresponsive
YBL094C		unresponsive	unresponsive
YBL095W		unresponsive	unresponsive
YBL096C		unresponsive	unresponsive
YBL097W	BRN1	unresponsive	unresponsive
YBL098W	BNA4	unresponsive	unresponsive
YBL099W	ATP1	unresponsive	unresponsive
YBL100C		unresponsive	unresponsive
YBL100W-B		unresponsive	unresponsive
YBL100W-C		unresponsive	unresponsive
YBL101C	ECM21	upregulated	upregulated_Hog1_independent
YBL102W	SFT2	unresponsive	unresponsive
YBL103C	RTG3	unresponsive	unresponsive
YBL104C	SEA4	unresponsive	unresponsive
YBL105C	PKC1	unresponsive	unresponsive
YBL106C	SRO77	unresponsive	unresponsive
YBL107C	MIX23	unresponsive	unresponsive
YBL108C-A	PAU9	unresponsive	unresponsive
YBL109W		unresponsive	unresponsive
YBL113C		unresponsive	unresponsive
YBL113W-A		unresponsive	unresponsive
YBR001C	NTH2	upregulated	upregulated_Hog1_dependent
YBR002C	RER2	unresponsive	unresponsive
YBR003W	COQ1	unresponsive	unresponsive
YBR004C	GPI18	unresponsive	unresponsive
YBR005W	RCR1	unresponsive	unresponsive
YBR006W	UGA2	upregulated	upregulated_Hog1_dependent
YBR007C	DSF2	unresponsive	unresponsive
YBR008C	FLR1	unresponsive	unresponsive
YBR009C	HHF1	unresponsive	unresponsive
YBR010W	HHT1	unresponsive	unresponsive
YBR011C	IPP1	unresponsive	unresponsive
YBR012C		unresponsive	unresponsive
YBR012W-B		unresponsive	unresponsive
YBR013C		unresponsive	unresponsive
YBR014C	GRX7	upregulated	upregulated_Hog1_independent
YBR015C	MNN2	unresponsive	unresponsive
YBR016W		unresponsive	unresponsive
YBR017C	KAP104	unresponsive	unresponsive
YBR018C	GAL7	upregulated	upregulated_Hog1_independent
YBR019C	GAL10	unresponsive	unresponsive
YBR020W	GAL1	unresponsive	unresponsive
YBR021W	FUR4	unresponsive	unresponsive
YBR022W	POA1	unresponsive	unresponsive
YBR023C	CHS3	unresponsive	unresponsive
YBR024W	SCO2	upregulated	upregulated_Hog1_independent
YBR025C	OLA1	unresponsive	unresponsive
YBR026C	ETR1	unresponsive	unresponsive
YBR027C		unresponsive	unresponsive
YBR028C	YPK3	unresponsive	unresponsive
YBR029C	CDS1	unresponsive	unresponsive
YBR030W	RKM3	unresponsive	unresponsive
YBR031W	RPL4A	downregulated	downregulated_Hog1_independent
YBR032W		unresponsive	unresponsive
YBR033W	EDS1	unresponsive	unresponsive
YBR034C	HMT1	downregulated	downregulated_Hog1_dependent
YBR035C	PDX3	unresponsive	unresponsive
YBR036C	CSG2	unresponsive	unresponsive
YBR037C	SCO1	unresponsive	unresponsive
YBR038W	CHS2	unresponsive	unresponsive
YBR039W	ATP3	unresponsive	unresponsive
YBR040W	FIG1	downregulated	downregulated_Hog1_independent
YBR041W	FAT1	unresponsive	unresponsive
YBR042C	CST26	unresponsive	unresponsive
YBR043C	QDR3	unresponsive	unresponsive
YBR044C	TCM62	unresponsive	unresponsive
YBR045C	GIP1	upregulated	upregulated_Hog1_independent
YBR046C	ZTA1	upregulated	upregulated_Hog1_independent
YBR047W	FMP23	upregulated	upregulated_Hog1_independent
YBR048W	RPS11B	unresponsive	unresponsive
YBR049C	REB1	unresponsive	unresponsive
YBR050C	REG2	upregulated	upregulated_Hog1_independent
YBR051W		unresponsive	unresponsive
YBR052C	RFS1	upregulated	upregulated_Hog1_independent
YBR053C		upregulated	upregulated_Hog1_independent
YBR054W	YRO2	upregulated	upregulated_Hog1_independent
YBR055C	PRP6	unresponsive	unresponsive
YBR056C-B		unresponsive	unresponsive
YBR056W		upregulated	upregulated_Hog1_independent
YBR056W-A		unresponsive	unresponsive
YBR057C	MUM2	unresponsive	unresponsive
YBR058C	UBP14	unresponsive	unresponsive
YBR058C-A	TSC3	unresponsive	unresponsive
YBR059C	AKL1	unresponsive	unresponsive
YBR060C	ORC2	unresponsive	unresponsive
YBR061C	TRM7	downregulated	downregulated_Hog1_independent
YBR062C		unresponsive	unresponsive
YBR063C		unresponsive	unresponsive
YBR064W		unresponsive	unresponsive
YBR065C	ECM2	unresponsive	unresponsive
YBR066C	NRG2	unresponsive	unresponsive
YBR067C	TIP1	unresponsive	unresponsive
YBR068C	BAP2	unresponsive	unresponsive
YBR069C	TAT1	downregulated	downregulated_Hog1_independent
YBR070C	ALG14	unresponsive	unresponsive
YBR071W		unresponsive	unresponsive
YBR072C-A		unresponsive	unresponsive
YBR072W	HSP26	upregulated	upregulated_Hog1_dependent
YBR073W	RDH54	unresponsive	unresponsive
YBR074W	PFF1	unresponsive	unresponsive
YBR076C-A		unresponsive	unresponsive
YBR076W	ECM8	unresponsive	unresponsive
YBR077C	SLM4	unresponsive	unresponsive
YBR078W	ECM33	downregulated	downregulated_Hog1_independent
YBR079C	RPG1	downregulated	downregulated_Hog1_independent
YBR080C	SEC18	unresponsive	unresponsive
YBR081C	SPT7	unresponsive	unresponsive
YBR082C	UBC4	unresponsive	unresponsive
YBR083W	TEC1	unresponsive	unresponsive
YBR084C-A	RPL19A	unresponsive	unresponsive
YBR084W	MIS1	downregulated	downregulated_Hog1_independent
YBR085C-A		upregulated	upregulated_Hog1_dependent
YBR085W	AAC3	downregulated	downregulated_Hog1_dependent
YBR086C	IST2	unresponsive	unresponsive
YBR087W	RFC5	unresponsive	unresponsive
YBR088C	POL30	downregulated	downregulated_Hog1_independent
YBR089C-A	NHP6B	unresponsive	unresponsive
YBR089W		unresponsive	unresponsive
YBR090C		unresponsive	unresponsive
YBR091C	TIM12	unresponsive	unresponsive
YBR092C	PHO3	downregulated	downregulated_Hog1_independent
YBR093C	PHO5	unresponsive	unresponsive
YBR094W	PBY1	unresponsive	unresponsive
YBR095C	RXT2	unresponsive	unresponsive
YBR096W		unresponsive	unresponsive
YBR097W	VPS15	unresponsive	unresponsive
YBR098W	MMS4	unresponsive	unresponsive
YBR099C		upregulated	upregulated_Hog1_independent
YBR101C	FES1	unresponsive	unresponsive
YBR102C	EXO84	unresponsive	unresponsive
YBR103C-A		unresponsive	unresponsive
YBR103W	SIF2	unresponsive	unresponsive
YBR104W	YMC2	downregulated	downregulated_Hog1_independent
YBR105C	VID24	unresponsive	unresponsive
YBR106W	PHO88	unresponsive	unresponsive
YBR107C	IML3	unresponsive	unresponsive
YBR108W	AIM3	unresponsive	unresponsive
YBR109C	CMD1	unresponsive	unresponsive
YBR109W-A		unresponsive	unresponsive
YBR110W	ALG1	unresponsive	unresponsive
YBR111C	YSA1	unresponsive	unresponsive
YBR111W-A	SUS1	unresponsive	unresponsive
YBR112C	CYC8	unresponsive	unresponsive
YBR113W		unresponsive	unresponsive
YBR114W	RAD16	upregulated	upregulated_Hog1_independent
YBR115C	LYS2	unresponsive	unresponsive
YBR116C		upregulated	upregulated_Hog1_dependent
YBR117C	TKL2	upregulated	upregulated_Hog1_dependent
YBR118W	TEF2	unresponsive	unresponsive
YBR119W	MUD1	unresponsive	unresponsive
YBR120C	CBP6	unresponsive	unresponsive
YBR121C	GRS1	unresponsive	unresponsive
YBR122C	MRPL36	unresponsive	unresponsive
YBR123C	TFC1	unresponsive	unresponsive
YBR124W		unresponsive	unresponsive
YBR125C	PTC4	unresponsive	unresponsive
YBR126C	TPS1	upregulated	upregulated_Hog1_dependent
YBR126W-A		unresponsive	unresponsive
YBR126W-B		unresponsive	unresponsive
YBR127C	VMA2	unresponsive	unresponsive
YBR128C	ATG14	upregulated	upregulated_Hog1_independent
YBR129C	OPY1	unresponsive	unresponsive
YBR130C	SHE3	unresponsive	unresponsive
YBR131C-A		unresponsive	unresponsive
YBR131W	CCZ1	unresponsive	unresponsive
YBR132C	AGP2	upregulated	upregulated_Hog1_dependent
YBR133C	HSL7	unresponsive	unresponsive
YBR134W		unresponsive	unresponsive
YBR135W	CKS1	unresponsive	unresponsive
YBR136W	MEC1	unresponsive	unresponsive
YBR137W		unresponsive	unresponsive
YBR138C		unresponsive	unresponsive
YBR139W		upregulated	upregulated_Hog1_independent
YBR140C	IRA1	unresponsive	unresponsive
YBR141C	BMT2	downregulated	downregulated_Hog1_independent
YBR141W-A		unresponsive	unresponsive
YBR142W	MAK5	downregulated	downregulated_Hog1_independent
YBR143C	SUP45	unresponsive	unresponsive
YBR144C		unresponsive	unresponsive
YBR145W	ADH5	unresponsive	unresponsive
YBR146W	MRPS9	unresponsive	unresponsive
YBR147W	RTC2	upregulated	upregulated_Hog1_independent
YBR148W	YSW1	unresponsive	unresponsive
YBR149W	ARA1	upregulated	upregulated_Hog1_dependent
YBR150C	TBS1	unresponsive	unresponsive
YBR151W	APD1	unresponsive	unresponsive
YBR152W	SPP381	unresponsive	unresponsive
YBR153W	RIB7	unresponsive	unresponsive
YBR154C	RPB5	downregulated	downregulated_Hog1_independent
YBR155W	CNS1	downregulated	downregulated_Hog1_independent
YBR156C	SLI15	unresponsive	unresponsive
YBR157C	ICS2	unresponsive	unresponsive
YBR158W	AMN1	downregulated	downregulated_Hog1_dependent
YBR159W	IFA38	unresponsive	unresponsive
YBR160W	CDC28	unresponsive	unresponsive
YBR161W	CSH1	upregulated	upregulated_Hog1_dependent
YBR162C	TOS1	downregulated	downregulated_Hog1_independent
YBR162W-A	YSY6	unresponsive	unresponsive
YBR163W	EXO5	unresponsive	unresponsive
YBR164C	ARL1	unresponsive	unresponsive
YBR165W	UBS1	unresponsive	unresponsive
YBR166C	TYR1	unresponsive	unresponsive
YBR167C	POP7	unresponsive	unresponsive
YBR168W	PEX32	unresponsive	unresponsive
YBR169C	SSE2	upregulated	upregulated_Hog1_independent
YBR170C	NPL4	unresponsive	unresponsive
YBR171W	SEC66	unresponsive	unresponsive
YBR172C	SMY2	unresponsive	unresponsive
