ensembl_gene_id	RNASeq	Gasch	Tilings
YAL051W	0.608992030684441	-0.03	-1.3528862173
YAL053W	0.218946769517259	-0.3	-1.1033933555
YAL054C	0.576284929475055	0.13	1.4499746305
YAL055W	0.211917757745423	-0.19	-1.0350839299
YAL056W	0.47847475097266	0.06	-1.0819961867
YAL058W	-0.342064850606526	-0.16	-1.8391356225
YAL059W	-2.86108230307915	-0.52	-2.5956916988
YAL060W	1.57811617302341	0.28	1.7045937666
YAL061W	6.01006441781098	1.17	19.4282238075
YAL062W	0.631172645810668	-0.05	-1.1893748369
YAL067C	-0.731695651718826	-0.04	-1.3002719787
YAR002C-A	-0.762404767153983	-0.6	-1.3810004235
YAR002W	-0.264949031931914	-0.16	-1.2576724648
YAR003W	0.270488714003539	0.03	-1.1094220477
YAR007C	0.234919221840909	-0.04	-1.1016366868
YAR008W	-1.78903521948369	-0.27	-1.9504483673
YAR014C	-0.317866436939227	0.23	-1.6766731179
YAR015W	-1.35702167575128	-0.57	-1.8438021874
YAR018C	-0.615917745326616	0	-2.8057690661
YAR019C	1.00628811243117	0.04	-1.0943183151
YAR028W	-0.330049291887217	0.4	-1.4811462367
YAR035W	-0.82012110412393	0.01	-2.002749224
YAR042W	-0.00105144091531391	-0.06	-2.6433743152
YBL001C	0.278881842388504	0.01	1.0495015847
YBL002W	-0.197782429234117	-0.14	1.1070809931
YBL003C	-0.46243113665573	-0.37	1.1854584156
YBL004W	-3.54679899730036	-0.4	-2.4375149986
YBL006C	-0.105626747655486	-0.12	-1.7791987549
YBL007C	0.536083300452523	-0.06	-1.1458912682
YBL009W	-1.48584320961169	-0.59	-2.3799299797
YBL010C	-0.155656095966611	-0.06	1.2912525535
YBL011W	-0.0708604659390394	-0.05	-1.1552778742
YBL013W	0.764747948628945	0.04	-1.5038166716
YBL014C	-0.308060587683588	0.02	-1.2758031819
YBL015W	1.36406082309969	0.46	1.0331258186
YBL017C	0.224919475553149	0.07	-1.3646391604
YBL018C	-2.3624307062288	-1.09	-2.0447811408
YBL019W	0.804332559743083	0.44	1.0045914307
YBL020W	-0.550875162549082	-0.12	-1.6869426499
YBL021C	-0.0564699243629383	0.15	-1.1453641764
YBL022C	0.227699480270973	-0.23	-1.5318977507
YBL023C	-0.503658038880465	0.14	-2.4459720518
YBL024W	-1.59349392822246	-1.12	-1.4762013619
YBL025W	-0.0248525466843958	0.49	-1.0097435093
YBL026W	-0.975430016441937	-0.57	-1.1783522082
YBL027W	-1.30783528675677	-1.38	1.000990172
YBL028C	-3.87502148776268	-2.16	-1.0735310783
YBL029W	-0.203299390990591	-0.9	-1.7951962176
YBL030C	-0.228271414514493	-0.37	-1.232036085
YBL031W	-0.398207654043441	-0.31	-1.5478508923
YBL032W	-0.628329061825207	-0.27	-2.3757782426
YBL033C	0.254520629239902	-0.19	-1.7042673098
YBL034C	0.00746921844795736	-0.15	1.058663317
YBL035C	-1.73632455181767	-0.88	-2.3915420561
YBL036C	-0.549964743516133	-0.27	-1.4909418341
YBL037W	0.0477306475376993	-0.02	-1.3834807156
YBL038W	0.215086624085929	-0.18	1.2202546095
YBL039C	-4.50770815732579	-3.12	-1.354973673
YBL040C	-0.447295032529351	-0.33	-1.2823047267
YBL041W	0.392003136868169	0.09	1.2623431121
YBL042C	-2.64371863597509	-1.58	-4.0541130187
YBL043W	-0.0533543238496381	0.19	-1.5862379994
YBL045C	0.660949704886672	0.35	-1.0457633124
YBL046W	0.0817491075600735	-0.22	-1.4716584041
YBL047C	0.767240769915309	0.12	-1.3269691845
YBL050W	0.658128502717223	0.77	1.1289387967
YBL051C	0.0169433239704457	-0.02	-1.388611717
YBL052C	-1.07273526276349	-0.84	-1.7031679455
YBL055C	-1.25804641006922	-0.26	-1.7790530245
YBL056W	0.349849942695093	-0.05	-1.2014173605
YBL057C	-0.489170749945231	-0.08	-1.5120742547
YBL058W	0.782779789974689	-0.11	-1.0084625283
YBL059W	-0.412375077797823	0.47	-1.123570075
YBL060W	-0.307815893078828	0.02	1.0257472823
YBL061C	-1.08311088737477	-0.94	-2.0298275841
YBL063W	-0.531530502465133	-0.12	-1.4705381696
YBL064C	2.52196507197894	2.42	2.8423461419
YBL066C	0.43436474640499	-0.07	-1.5713407808
YBL067C	-0.654758561817886	-0.32	-2.0243507172
YBL068W	-2.02520043071926	-1.76	-1.1127825263
YBL069W	-0.713440350392277	-0.07	-2.1545214334
YBL075C	1.35303729698017	1.66	1.4180374485
YBL076C	-1.38010578234514	-1	-1.0975655461
YBL078C	2.92502991435409	NA	2.440149146
YBL079W	-0.51720942418579	-0.23	-1.689384315
YBL080C	0.788455382085907	NA	-1.0703173816
YBL081W	-1.72687421266617	-0.08	1.4127832343
YBL083C	-0.996708878386535	-0.32	-2.3995053482
YBL084C	0.465895665377461	1	-1.0702692295
YBL085W	0.0466612829899314	-0.13	-1.2640369071
YBL086C	1.7762945879028	2	1.9061948971
YBL087C	-1.20403307869189	-0.9	1.9688152462
YBL088C	-0.122810753685841	-0.19	-1.5085635937
YBL089W	0.0494733726691255	0.2	-1.1944606171
YBL090W	-0.214715311378434	0	1.1661146928
YBL091C	-0.143266363038005	0.06	-1.2003704021
YBL092W	-1.0711604009406	-0.76	1.9641984166
YBL093C	-0.377074544694081	-0.16	-1.2692472781
YBL095W	0.421328590603484	0.3	-1.1716451059
YBL097W	-0.627245669749339	0.06	-1.4695394323
YBL098W	0.100914034024813	0.29	-1.3948684799
YBL099W	0.19123287971926	0.05	-1.2098101966
YBL101C	1.28877571862318	0.04	-1.0839673848
YBL102W	-0.11851182273678	-0.22	-1.9872489979
YBL103C	0.350228447793431	0.54	1.4829073454
YBL104C	-0.120943083551018	-0.19	-1.5932432896
YBL105C	0.24003044019929	-0.18	-1.6969499242
YBL106C	-0.485444301878877	-0.03	-1.696109335
YBL107C	-0.648649283062696	-0.68	-1.5107360347
YBR001C	1.93542944612481	0.58	1.8702023004
YBR002C	-0.975499495457415	0.37	-2.1259348631
YBR003W	0.950816468711337	0.7	-1.0892292242
YBR004C	-0.44732526076031	0.12	-2.1509828637
YBR005W	1.06991968519556	0.09	2.1323646018
YBR006W	2.46105252693901	1.33	2.3014409669
YBR007C	-0.187219431528981	0.01	-1.6533158325
YBR008C	-0.659615692874497	0.15	-1.7072211592
YBR009C	-0.628137553788317	-0.5	1.2423921975
YBR010W	-0.841934884523266	-0.4	-1.0261970022
YBR011C	0.0366483729840363	0.58	1.326962204
YBR014C	1.4605395857718	1.12	1.500671772
YBR015C	-0.197434753484578	-0.66	-1.4540172585
YBR016W	0.754151818610274	-0.04	-1.4340774943
YBR017C	-0.314581871683832	-0.23	1.193124291
YBR018C	1.98614907731652	1.81	1.2923566508
YBR020W	0.571378211907458	0.37	-1.1717709342
YBR021W	-0.139419770554677	0.15	1.1200724103
YBR022W	-0.120007021244616	-0.19	-2.1623027451
YBR023C	-0.64981928039694	-0.41	-1.7125641508
YBR024W	1.24237013966897	0.83	1.2550775482
YBR025C	-0.654370820528933	-0.55	-1.0648371662
YBR029C	-1.14602186352899	-0.24	-2.7682341435
YBR030W	-1.06336685993842	-0.29	-1.4321026413
