RepName	halfLife_tani
NM_152626,NM_007139,	2.20 
NM_001505,NM_001039966,	2.20 
NM_203309,	2.20 
NM_080867,NM_199421,	2.20 
NM_024644,	2.20 
NM_174943,	2.20 
NM_001013638,	2.20 
NM_030624,	2.20 
NM_017622,	2.20 
NM_020233,	2.20 
NM_002033,	2.20 
NM_001033517,	2.20 
NM_025201,	2.20 
NM_033211,	2.22 
NM_000958,	2.22 
NM_001024646,NM_004071,	2.22 
NM_006449,	2.22 
NM_173077,	2.22 
NM_030577,	2.22 
NM_002357,	2.22 
NM_017817,	2.22 
NM_153371,	2.22 
NM_001039799,	2.22 
NM_032199,	2.22 
NM_145202,	2.22 
NM_006038,	2.22 
NM_152667,	2.22 
NM_178331,NM_001501,NM_178332,	2.22 
NM_080603,	2.22 
NM_013248,	2.22 
NM_018310,	2.22 
NM_203390,	2.22 
NM_145214,	2.22 
NM_003993,NM_001291,	2.22 
NM_025106,	2.22 
NM_020897,	2.22 
NM_052841,	2.22 
NM_004364,	2.22 
NM_001008727,	2.22 
NM_152360,	2.22 
NM_178523,	2.22 
NM_133473,	2.22 
NM_024967,	2.22 
NM_152604,	2.22 
NM_001008401,	2.22 
NM_022752,	2.22 
NM_006959,	2.22 
NM_173631,	2.22 
NM_145295,	2.22 
NM_013360,	2.22 
NM_003409,	2.22 
NM_152470,	2.22 
NM_020727,	2.22 
NM_002888,NM_206963,	2.22 
NM_023067,	2.22 
NM_016362,	2.22 
NM_015508,	2.22 
NM_173656,	2.22 
NM_003670,	2.22 
NM_033334,NM_033335,NM_001489,	2.22 
NM_005802,	2.22 
NM_025182,	2.22 
NM_001206,	2.22 
NM_007135,	2.22 
NM_197977,NM_003452,	2.22 
NM_006982,	2.22 
NM_014212,	2.22 
NM_003740,	2.22 
NM_006290,	2.22 
NM_152753,	2.22 
NM_152732,	2.22 
NM_006299,	2.22 
NM_152553,	2.22 
NM_152556,	2.22 
NM_152411,	2.22 
NM_016265,NM_006956,	2.22 
NM_000522,	2.22 
NM_145115,	2.22 
NM_017420,	2.22 
NM_005982,	2.22 
NM_174944,	2.22 
NM_173475,	2.22 
NM_001048212,NM_001048216,	2.22 
NM_024336,	2.22 
NM_153261,	2.22 
NM_006962,NM_001007088,	2.22 
NM_178519,	2.22 
NM_003655,	2.22 
NM_003620,	2.22 
NM_032325,	2.22 
NM_003390,	2.22 
NM_133639,	2.22 
NM_014793,	2.22 
NM_015492,	2.22 
NM_015322,	2.22 
NM_203373,	2.22 
NM_003215,	2.22 
NM_006622,	2.25 
NM_178450,	2.25 
NM_173665,	2.25 
NM_198273,	2.25 
NM_173670,NM_001012761,	2.25 
NM_198256,	2.25 
NM_014362,NM_198047,	2.25 
NM_003467,NM_001008540,	2.25 
NM_003709,	2.25 
NM_033111,	2.25 
NM_006022,NM_183422,	2.25 
NM_001039650,NM_001039649,	2.25 
NM_206808,NM_138280,	2.25 
NM_147156,	2.25 
NM_001001971,NM_198215,	2.25 
NM_173192,NM_173197,NM_173342,NM_014591,NM_173193,NM_173194,NM_173195,NM_173191,	2.25 
NM_012083,	2.25 
NM_032804,	2.25 
NM_020436,	2.25 
NM_022482,	2.25 
NM_033118,	2.25 
NM_024613,	2.25 
NM_003416,	2.25 
NM_018941,	2.25 
NM_024700,	2.25 
NM_018040,	2.25 
NM_001012970,	2.25 
NM_022836,	2.25 
NM_001674,NM_001040619,NM_001030287,NM_004024,	2.25 
NM_003462,	2.25 
NM_198893,NM_033288,	2.25 
NM_017656,	2.25 
NM_032679,	2.25 
NM_024108,	2.25 
NM_152477,NM_001042474,	2.25 
NM_001023561,	2.25 
NM_144689,	2.25 
NM_022006,	2.25 
NM_024691,	2.25 
NM_006630,	2.25 
NM_015675,	2.25 
NM_173354,	2.25 
NM_015008,NM_001017395,	2.25 
NM_020654,NM_001077203,	2.25 
NM_153690,	2.25 
NM_016331,	2.25 
NM_173824,	2.25 
NM_003420,	2.25 
NM_018847,	2.25 
NM_001025780,NM_016014,	2.25 
NM_014007,	2.25 
NM_005511,	2.25 
NM_001490,	2.25 
NM_152640,	2.25 
NM_153693,NM_004503,	2.25 
NM_182492,	2.25 
NM_032051,NM_032050,NM_014323,NM_032052,	2.25 
NM_015094,	2.25 
NM_005906,	2.25 
NM_014895,	2.25 
NM_206921,NM_001042475,	2.25 
NM_014797,	2.25 
NM_033260,	2.25 
NM_001453,	2.25 
NM_001003690,NM_014628,	2.25 
NM_152749,	2.25 
NM_006213,	2.25 
NM_003454,NM_198088,NM_198087,	2.25 
NM_018380,	2.25 
NM_153688,	2.25 
NM_021242,	2.25 
NM_005497,	2.25 
NM_005749,	2.25 
NM_000346,	2.25 
NM_016078,	2.25 
NM_004420,	2.25 
NM_031307,	2.25 
NM_003824,	2.25 
NM_016090,	2.25 
NM_018315,NM_001013415,NM_033632,	2.25 
NM_004354,	2.25 
NM_012118,	2.25 
NM_145291,	2.25 
NM_016348,NM_032385,	2.27 
NM_152407,	2.27 
NM_020651,	2.27 
NM_212556,	2.27 
NM_017789,	2.27 
NM_002158,	2.27 
NM_001031716,	2.27 
NM_001042521,NM_032321,NM_001042519,NM_001042520,	2.27 
NM_002166,	2.27 
NM_145197,NM_145198,NM_145199,NM_015929,NM_145196,	2.27 
NM_153689,	2.27 
NM_024546,	2.27 
NM_004093,	2.27 
NM_033397,	2.27 
NM_021045,	2.27 
NM_002729,	2.27 
NM_019084,	2.27 
NM_001547,	2.27 
NM_005204,	2.27 
NM_022829,NM_001011554,	2.27 
NM_033089,	2.27 
NM_005194,	2.27 
NM_023929,	2.27 
NM_020317,	2.27 
NM_015872,	2.27 
NM_178549,	2.27 
NM_001039888,	2.27 
NM_021205,	2.27 
NM_020714,	2.27 
NM_006145,	2.27 
NM_021632,	2.27 
NM_016535,	2.27 
NM_003417,	2.27 
NM_153358,	2.27 
NM_152909,	2.27 
NM_001023563,	2.27 
NM_032430,	2.27 
NM_058188,	2.27 
NM_001005732,NM_001005734,NM_001005733,	2.27 
NM_015642,	2.27 
NM_015429,	2.27 
NM_173084,	2.27 
NM_005832,NM_181361,	2.27 
NM_175888,	2.27 
NM_012266,	2.27 
NM_001240,	2.27 
NM_152441,	2.27 
NM_153377,	2.27 
NM_001002259,NM_023925,NM_032156,	2.27 
NM_003440,	2.27 
NM_018009,	2.27 
NM_031937,	2.27 
NM_016272,	2.27 
NM_032145,	2.27 
NM_145909,NM_030899,	2.27 
NM_018561,	2.27 
NM_024018,	2.27 
NM_152736,NM_001023560,NM_007151,	2.27 
NM_001040057,NM_152789,	2.27 
NM_015483,	2.27 
NM_013332,	2.27 
NM_021163,	2.27 
NM_173680,	2.27 
NM_020156,	2.27 
NM_022073,	2.27 
NM_005132,NM_001048205,	2.27 
NM_014734,	2.27 
NM_004251,	2.27 
NM_017763,	2.27 
NM_016632,	2.27 
NM_000413,	2.27 
NM_003455,	2.27 
NM_198947,	2.27 
NM_139055,	2.27 
NM_182553,	2.27 
NM_145014,	2.27 
NM_001124,	2.27 
NM_014106,	2.27 
NM_006465,	2.27 
NM_199163,	2.27 
NM_006095,	2.27 
NM_016531,	2.27 
NM_017632,	2.27 
NM_020961,	2.27 
NM_152622,	2.30 
NM_173491,	2.30 
NM_001013717,	2.30 
NM_015946,	2.30 
NM_020905,	2.30 
NM_001005746,NM_001005747,NM_000726,	2.30 
NM_001008215,	2.30 
NM_003597,	2.30 
NM_033132,	2.30 
NM_002312,NM_206937,	2.30 
NM_003891,	2.30 
NM_153023,	2.30 
NM_018017,	2.30 
NM_152644,	2.30 
NM_004419,	2.30 
NM_016649,	2.30 
NM_024325,	2.30 
NM_017786,	2.30 
NM_032862,	2.30 
NM_002167,	2.30 
NM_145257,	2.30 
NM_000963,	2.30 
NM_003921,	2.30 
NM_152608,	2.30 
NM_153812,	2.30 
NM_032890,	2.30 
NM_005091,	2.30 
NM_014898,	2.30 
NM_203374,	2.30 
NM_024106,	2.30 
NM_032497,	2.30 
NM_032828,	2.30 
NM_018316,	2.30 
NM_014910,	2.30 
NM_025194,	2.30 
NM_173548,	2.30 
NM_025061,	2.30 
NM_175871,	2.30 
NM_001044388,NM_001044387,NM_024341,	2.30 
NM_006965,	2.30 
NM_005904,	2.30 
NM_014913,	2.30 
NM_198996,	2.30 
NM_178496,	2.30 
NM_020353,	2.30 
NM_001025468,	2.30 
NM_031913,	2.30 
NM_153331,	2.30 
NM_033029,	2.30 
NM_014779,	2.30 
NM_017680,	2.30 
NM_194252,	2.30 
NM_197956,	2.30 
NM_001007101,NM_031486,	2.30 
NM_014930,	2.30 
NM_005447,	2.30 
NM_007076,	2.30 
NM_002430,	2.30 
NM_020133,	2.30 
NM_030784,	2.30 
NM_006653,	2.30 
NM_001076781,	2.30 
NM_182529,	2.30 
NM_024910,	2.30 
NM_000845,	2.30 
NM_001040167,NM_001040168,	2.30 
NM_001024858,NM_000347,	2.30 
NM_014950,	2.30 
NM_153029,	2.30 
NM_003745,	2.30 
NM_152288,	2.30 
NM_003498,	2.30 
NM_182980,NM_182981,NM_013370,	2.30 
NM_020465,NM_022910,	2.30 
NM_001039891,	2.30 
NM_017669,NM_001009954,	2.30 
NM_001039840,	2.30 
NM_002063,	2.30 
NM_018182,	2.30 
NM_020772,	2.30 
NM_018149,	2.30 
NM_024857,	2.30 
NM_144608,	2.30 
NM_024680,	2.30 
NM_021117,	2.30 
NM_004268,	2.30 
NM_024741,	2.30 
NM_152449,	2.30 
NM_181900,	2.30 
NM_001004309,	2.30 
NM_001812,	2.30 
NM_017676,	2.33 
NM_173360,NM_031952,	2.33 
NM_022090,	2.33 
NM_133372,NM_001008738,	2.33 
NM_145265,	2.33 
NM_178019,	2.33 
NM_018086,	2.33 
NM_017880,	2.33 
NM_018410,	2.33 
NM_001485,	2.33 
NM_174898,	2.33 
NM_016260,	2.33 
NM_198482,	2.33 
NM_005911,	2.33 
NM_138624,NM_138621,NM_138626,NM_138622,NM_138627,NM_207002,NM_006538,NM_207003,NM_138623,	2.33 
NM_005253,	2.33 
NM_058241,NM_001241,	2.33 
NM_019002,	2.33 
NM_182626,	2.33 
NM_001616,	2.33 
NM_024705,NM_001031719,	2.33 
NM_001730,	2.33 
NM_015655,	2.33 
NM_032107,NM_015478,	2.33 
NM_022106,	2.33 
NM_001200,	2.33 
NM_001033521,NM_001033522,NM_001324,	2.33 
NM_031439,	2.33 
NM_032687,	2.33 
NM_003068,	2.33 
NM_173344,NM_003033,	2.33 
NM_171982,	2.33 
NM_017956,	2.33 
NM_053274,	2.33 
NM_014851,	2.33 
NM_201269,NM_016620,NM_032186,	2.33 
NM_022768,	2.33 
NM_178548,	2.33 
NM_201253,	2.33 
NM_025058,	2.33 
NM_020978,	2.33 
NM_145238,	2.33 
NM_033343,	2.33 
NM_017734,	2.33 
NM_018704,	2.33 
NM_057091,NM_003976,NM_057090,NM_057160,	2.33 
NM_198471,	2.33 
NM_001012756,	2.33 
NM_001010880,	2.33 
NM_025189,	2.33 
NM_014347,	2.33 
NM_003435,	2.33 
NM_022751,	2.33 
NM_021127,	2.33 
NM_014415,	2.33 
NM_032487,	2.33 
NM_005067,	2.33 
NM_001706,NM_138931,	2.33 
NM_182909,NM_014890,NM_001042459,	2.33 
NM_000882,	2.33 
NM_017719,	2.33 
NM_001001662,	2.33 
NM_020924,	2.33 
NM_001001551,	2.33 
NM_001006643,NM_001006641,NM_001006642,NM_052901,	2.33 
NM_153710,	2.33 
NM_032293,	2.33 
NM_004473,	2.33 
NM_030809,	2.33 
NM_021808,	2.33 
NM_013267,	2.33 
NM_002075,	2.33 
NM_014319,	2.33 
NM_005967,	2.33 
NM_003583,NM_006482,	2.33 
NM_032829,	2.33 
NM_207477,	2.33 
NM_003322,	2.33 
NM_152554,	2.33 
NM_006298,	2.33 
NM_176814,	2.33 
NM_002612,	2.33 
NM_001042762,NM_022116,	2.33 
NM_001012454,	2.33 
NM_203397,	2.33 
NM_178441,NM_021260,	2.33 
NM_024496,	2.33 
NM_003082,	2.33 
NM_017943,	2.33 
NM_052874,	2.33 
NM_153028,	2.33 
NM_017413,	2.33 
NM_006978,	2.33 
NM_006223,	2.33 
NM_007215,	2.33 
NM_001001870,NM_032895,	2.33 
NM_152347,	2.33 
NM_022725,	2.33 
NM_014488,	2.33 
NM_145803,NM_004620,	2.33 
NM_007105,	2.33 
NM_173039,	2.33 
NM_021647,NM_001009554,	2.33 
NM_016955,NM_153825,	2.33 
NM_002198,	2.35 
NM_024565,	2.35 
NM_198566,	2.35 
NM_174889,	2.35 
NM_145867,	2.35 
NM_144631,	2.35 
NM_173172,NM_173171,NM_006186,NM_173173,	2.35 
NM_005667,	2.35 
NM_032604,	2.35 
NM_023016,	2.35 
NM_020121,	2.35 
NM_178006,NM_052851,NM_178008,NM_178007,	2.35 
NM_018011,	2.35 
NM_198219,NM_198218,NM_005537,NM_198217,	2.35 
NM_138316,NM_148977,NM_148978,	2.35 
NM_030759,	2.35 
NM_006963,	2.35 
NM_000773,	2.35 
NM_006829,	2.35 
NM_014948,NM_199415,	2.35 
NM_021061,	2.35 
NM_005098,	2.35 
NM_052937,	2.35 
NM_007218,	2.35 
NM_052924,	2.35 
NM_030937,NM_001039577,	2.35 
NM_182972,	2.35 
NM_004696,	2.35 
NM_014656,	2.35 
NM_019610,	2.35 
NM_181093,NM_020423,	2.35 
NM_024836,	2.35 
NM_018134,	2.35 
NM_017761,	2.35 
NM_018022,	2.35 
NM_014458,	2.35 
NM_020951,	2.35 
NM_001005851,	2.35 
NM_025245,	2.35 
NM_199132,NM_001008801,	2.35 
NM_181786,	2.35 
NM_212550,	2.35 
NM_144566,	2.35 
NM_021089,	2.35 
NM_018555,	2.35 
NM_005603,	2.35 
NM_001003675,NM_001003674,NM_181483,NM_181482,NM_004338,NM_181481,	2.35 
NM_031303,	2.35 
NM_006988,	2.35 
NM_152505,	2.35 
NM_020998,	2.35 
NM_022903,	2.35 
NM_173543,	2.35 
NM_173657,	2.35 
NM_017897,	2.35 
NM_024548,	2.35 
NM_174938,	2.35 
NM_206920,	2.35 
NM_138554,	2.35 
NM_144982,	2.35 
NM_006163,	2.35 
NM_004083,	2.35 
NM_139283,	2.35 
NM_182613,	2.35 
NM_005080,	2.35 
NM_001033523,	2.35 
NM_006355,	2.35 
NM_145655,NM_001491,NM_145649,	2.35 
NM_152559,	2.35 
NM_024523,	2.35 
NM_001010934,NM_001010933,NM_001010931,NM_000601,NM_001010932,	2.35 
NM_005302,	2.35 
NM_024653,	2.35 
NM_019071,NM_198267,	2.35 
NM_030636,	2.35 
NM_020834,	2.35 
NM_173462,	2.35 
NM_013231,	2.35 
NM_138731,	2.35 
NM_001001436,	2.35 
NM_145039,	2.35 
NM_001802,	2.35 
NM_206967,	2.35 
NM_033119,	2.35 
NM_005741,	2.35 
NM_005236,	2.35 
NM_001042471,NM_018530,	2.35 
NM_018042,	2.35 
NM_001025459,	2.35 
NM_014716,	2.35 
NM_017941,	2.35 
NM_016938,	2.35 
NM_153451,	2.35 
NM_032725,	2.35 
NM_006779,	2.35 
NM_003847,	2.35 
NM_022767,	2.35 
NM_002089,	2.35 
NM_002448,	2.35 
NM_144726,	2.38 
NM_003633,	2.38 
NM_031300,	2.38 
NM_133263,	2.38 
NM_001017927,	2.38 
NM_000312,	2.38 
NM_031866,	2.38 
NM_138499,	2.38 
NM_007329,NM_004406,NM_017579,	2.38 
NM_007078,	2.38 
NM_001039897,	2.38 
NM_021826,	2.38 
NM_033550,	2.38 
NM_002657,	2.38 
NM_017798,	2.38 
NM_030919,	2.38 
NM_152837,NM_022133,NM_152836,	2.38 
NM_003840,	2.38 
NM_001147,	2.38 
NM_006167,	2.38 
NM_152271,	2.38 
NM_018299,NM_001001481,NM_001001482,	2.38 
NM_080872,	2.38 
NM_139021,	2.38 
NM_032334,	2.38 
NM_000662,	2.38 
NM_182763,NM_021960,	2.38 
NM_031371,NM_016374,	2.38 
NM_024037,	2.38 
NM_212551,	2.38 
NM_003582,NM_001004023,	2.38 
NM_001040441,	2.38 
NM_014417,	2.38 
NM_152279,	2.38 
NM_144684,	2.38 
NM_007145,	2.38 
NM_014364,	2.38 
NM_199071,NM_058180,	2.38 
NM_005239,	2.38 
NM_021964,	2.38 
NM_172312,NM_001039592,	2.38 
NM_052813,	2.38 
NM_198186,NM_198187,NM_014010,NM_198188,	2.38 
NM_004936,NM_078487,	2.38 
NM_194320,	2.38 
NM_018956,	2.38 
NM_030640,	2.38 
NM_003428,	2.38 
NM_003877,	2.38 
NM_018173,	2.38 
NM_152943,NM_003415,	2.38 
NM_032256,	2.38 
NM_018280,	2.38 
NM_015653,	2.38 
NM_003216,	2.38 
NM_005675,	2.38 
NM_152733,	2.38 
NM_018988,	2.38 
NM_018945,	2.38 
NM_001455,NM_201559,	2.38 
NM_021620,	2.38 
NM_001031617,	2.38 
NM_177455,	2.38 
NM_032120,	2.38 
NM_002360,	2.38 
NM_001039936,NM_004067,	2.38 
NM_020810,	2.38 
NM_001015048,NM_001015049,NM_004873,	2.38 
NM_033410,	2.38 
NM_021646,	2.38 
NM_152458,	2.38 
NM_001010878,	2.38 
NM_024773,	2.38 
NM_014685,NM_001010989,NM_001010990,	2.38 
NM_021140,	2.38 
NM_000950,	2.38 
NM_002359,	2.38 
NM_001039999,	2.38 
NM_000286,	2.38 
NM_006460,	2.38 
NM_173079,	2.38 
NM_178518,	2.38 
NM_001039660,NM_001039659,NM_173042,	2.38 
NM_006656,	2.38 
NM_025141,NM_078474,	2.38 
NM_153619,NM_153616,NM_020858,NM_153618,NM_024966,NM_153617,	2.38 
NM_145204,	2.38 
NM_024590,	2.38 
NM_020389,	2.41 
NM_006203,	2.41 
NM_024867,NM_144722,	2.41 
NM_181501,	2.41 
NM_006887,	2.41 
NM_152392,	2.41 
NM_032213,	2.41 
NM_052871,	2.41 
NM_025147,	2.41 
NM_002015,	2.41 
NM_006346,	2.41 
NM_014915,	2.41 
NM_015235,	2.41 
NM_018245,	2.41 
NM_032023,	2.41 
NM_012420,	2.41 
NM_181689,NM_005386,	2.41 
NM_000933,NM_182797,	2.41 
NM_005985,	2.41 
NM_014112,	2.41 
NM_207506,	2.41 
NM_213605,	2.41 
NM_001013661,	2.41 
NM_033631,	2.41 
NM_144990,	2.41 
NM_005955,	2.41 
NM_017619,	2.41 
NM_014777,	2.41 
NM_014813,	2.41 
NM_001031665,	2.41 
NM_015898,	2.41 
NM_173804,	2.41 
NM_000363,	2.41 
NM_024762,	2.41 
NM_033256,	2.41 
NM_001012320,NM_018443,	2.41 
NM_001806,	2.41 
NM_020933,	2.41 
NM_001025094,NM_002385,NM_001025100,NM_001025098,NM_001025090,NM_001025101,NM_001025081,NM_001025092,	2.41 
NM_052911,	2.41 
NM_006806,	2.41 
NM_130436,NM_001396,NM_130438,NM_101395,NM_130437,	2.41 
NM_012234,	2.41 
