gene	comName	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	stressGene	mutantDep	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
1810	YGL006W	PMC1	-0.263607446747546	1	2.22699895878514	1.95704451962941	1.79937643595323e-05	1.11445490038359e-11	Upregulated	-	2119.23576788177	678.380705472164	3784.26825371026	690.117728211902	2141.55571499897	479.402714508751	554.521072032614	2921.93168089608	634.528261657086	2461.48767709483	561.507106910196	2216.54217569206
1823	YGR008C	STF2	-1.65265635401187	0.00028289636058041	3.94612425656714	2.29061361059107	1.22960242030126e-26	4.37454758630756e-13	Upregulated	Less upregulated	2406.31207526206	93.9925073846974	1955.24909425544	108.78274404349	713.851904999658	130.524403186861	160.927443981493	1629.29068838404	130.000912144378	531.154353085842	118.669027749062	524.07192767535
1833	YGR018C		-0.211252687069873	1	3.92599116485516	3.70576182121939	5.69881075743926e-05	0.00018774817007188	Upregulated	-	31.3433189199321	5.10828844482051	73.6341286336952	1.74052390469584	42.2675470065587	6.09927117695611	4.84721216811726	83.2826773760022	1.5476299064807	49.196400050337	1.92957768697662	29.6924604915213
1869	YGR043C	NQM1	-5.4645427022503	1.98029773564145e-68	7.55882064708076	2.09015377112123	7.24943843284362e-142	1.1756921153002e-06	Upregulated	Less upregulated	9620.26186394734	33.7147037358154	7377.87671006542	57.4372888549629	268.63374319724	59.7728575341699	53.3193338492898	7875.4914915842	43.3336373814595	243.480488384719	51.1338087048804	213.043404026665
1877	YGR051C		-3.10157550778671	0.776727372259604	6.60418985663962	3.48982463582674	0.000132695570967337	0.819624610994185	Upregulated	-	25.6445336617626	1.0216576889641	53.9107013210983	0	2.81783646710391	1.21985423539122	0	43.4008318720011	0	5.00302373393258	0	4.45386907372819
1878	YGR052W	FMP48	-5.47628960408277	5.06803779190004e-65	9.18488209948642	3.70978452325691	1.04122298670228e-243	8.92599628220715e-40	Upregulated	Less upregulated	18929.2275831672	32.6930460468513	19811.5252879265	39.1617878556565	650.920223901004	48.7941694156489	28.1138305750801	21178.4329580805	43.3336373814595	600.362848071909	42.4507091134856	464.687006692308
1879	YGR053C		-0.0815749538979364	1	2.36534024391812	2.28031900288731	0.00823400180759634	0.00525346521973355	Upregulated	-	81.207689928915	15.3248653344615	63.1149674003102	15.6647151422626	61.9924022762861	17.0779592954771	12.6027516371049	58.6497728000015	10.8334093453649	63.371633963146	8.68309959139478	76.4580857656672
1893	YGR066C		-4.28657046436716	1.07833799301237e-13	5.56781249390297	1.28736018277179	1.46881687508185e-34	1	Upregulated	Less upregulated	435.957072249965	14.3032076454974	579.86876299035	18.2755009993064	60.1138446315502	8.53897964773856	10.663866769858	654.531464448017	9.28577943888418	37.5226780044943	30.8732429916259	47.507936786434
1894	YGR067C		-3.20634809118872	5.2429255667081e-21	2.71983781850774	-0.493467462909616	5.07047961973482e-10	1	Upregulated	Less upregulated	452.341079867202	87.8625612509128	721.877439641047	147.944531899147	98.624276348637	118.325860832949	92.0970311942279	585.324732544015	83.5720149499576	108.398847568539	155.331003801618	97.2428081097321
1898	YGR070W	ROM1	-0.957621791578455	0.0898772312881553	2.73661304636533	1.77177075838917	5.08958181707545e-11	1.73521221378665e-08	Upregulated	-	1813.63840841244	230.894637705887	1505.55495152823	312.424040892904	1079.2313669008	302.523850377023	309.252136325881	1536.62404736004	177.97743924528	1006.44160780944	259.528198898355	938.281751532072
