gene	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
YJR145C	0.35378343152498	1	-0.794346346153935	-0.444996865858342	1	1	11406.8310423835	20738.6294282823	12975.3853813804	20430.2695933198	15778.9449369595	20556.9835748129	22597.7031277627	14262.4517495044	23045.756937404	13999.2942448323	18956.1711968583	14811.3416046831
YJR146W	0.3229737231778	1	-1.51824669564177	-1.20032457211581	0.958828344428907	1	24.9321855044914	75.6026689833436	34.1872740085013	74.8425279019213	32.874758782879	43.914752474084	58.1665460174071	30.4978818560008	120.715132705494	26.6827932476404	73.3239521051114	25.9809029300811
YJR147W	0.125294533172782	1	-1.50497531164	-1.38668315764305	0.723646282315234	0.0227639368975615	373.982782567372	1519.20498348962	618.00072246137	1097.40032191073	451.793113558994	1113.72691691219	963.625779021711	649.839482624017	2134.18164103688	471.118068278651	1091.17618198528	357.051837410543
YJR148W	0.237471655455373	1	-0.281347029386669	-0.0480167289877255	1	1	2975.47825292174	3192.68027801282	3038.7227012941	4218.15968303038	4016.35624444545	4113.3484817392	3934.96683807759	3416.93576332809	4228.12490450526	3841.48839037123	3463.59194812303	3693.74208514524
YJR149W	-0.16878840219723	1	1.34917082000506	1.17798099620385	0.618488627200659	1	570.590873974219	198.201591659036	552.255964752714	258.467799847333	554.174505197103	280.566474139981	257.871687343838	670.953400832017	241.430265410989	648.725410833258	233.478900124171	562.672126314328
YJR150C	1.58676540247866	0.765466899555105	-1.24728606679554	0.284581112137547	1	1	1.42469631454237	7.15160382274872	3.94468546251938	52.2157171408753	61.0531234539181	41.4750440033016	2.90832730087035	1.17299545600003	4.64288971944209	56.7009356512359	74.2887409485998	89.8196929868518
YJR151C	-0.890516729271147	0.79306182160469	0.253239330050339	-0.64445135779426	1	1	235.787240056762	414.793021719426	561.460230831926	369.861329747867	234.819705591993	347.658457086499	230.727299202381	510.253023360013	441.074523346998	238.477464650786	345.394405968814	216.012650075817
YJR151W-A	0.84954657604822	NA	-1.1357615284678	NA	NA	NA	0	0	0	0	0	0	0.969442433623452	0	0	0	0	0
YJR152W	-0.0510958974966027	1	0.352293004867834	0.292415988350648	1	1	153.867201970576	103.187426585374	159.102313654949	139.241912375668	192.552158585434	143.942799776164	151.233019645258	154.835400192004	106.786463547168	163.432108641798	143.753537679758	173.700893875399
YJR153W	-0.0234632252820944	1	-0.107080986929219	-0.130819026645428	1	1	18.5210520890508	21.4548114682462	19.7234273125969	247.15439446681	245.15177263804	236.651721665897	19.388848672469	25.8059000320007	27.8573383166525	226.803742604944	332.852151003466	283.562997694028
