name	comName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR238W	FAR10	146.048486082796	-0.176507200704492	0.180122838270766	0	1	1
YLR239C	LIP2	223.354881787942	0.00376872829476517	0.1726738189923	0	1	1
YLR240W	VPS34	603.475597096843	0.250623326599921	0.130755897736653	0	1	1
YLR241W	CSC1	1394.96877611314	-0.0843284988534728	0.171858552968789	0	1	1
YLR242C	ARV1	445.250582055346	-0.240637402882068	0.149955433888933	0	1	1
YLR243W	GPN3	922.261314807319	0.0722427320269934	0.157647946621738	0	1	1
YLR244C	MAP1	6068.66922468379	-0.0418592191352755	0.12934551908954	0	1	1
YLR245C	CDD1	93.5599938102953	-0.0701983863985075	0.177353112331689	0	1	1
YLR246W	ERF2	207.252001737464	0.0128356346968886	0.148525454100137	0	1	1
tL(CAA)L		7.17200230219003	-0.161001303217915	0.170770395315978	0	1	1
YLR247C	IRC20	687.510973031908	0.274122893023021	0.152235286368591	0	1	1
YLR248W	RCK2	1811.52089070962	0.0357235299872895	0.138556632222209	0	1	1
YLR249W	YEF3	137763.412006214	-0.221918706804066	0.159612764919394	0	1	1
YLR250W	SSP120	877.39487712978	-0.00341455785444377	0.139766017424235	0	1	1
YLR251W	SYM1	62.6207096294573	-0.13009873244309	0.192850839236525	0	1	1
YLR252W		20.8583225253303	-0.325659228698786	0.196959215434915	0	1	1
YLR253W	MCP2	537.506373823764	0.0760620667032578	0.14463324383363	0	1	1
YLR254C	NDL1	96.8901336114413	0.0386723354202166	0.188767309999382	0	1	1
YLR255C		8.48301850217876	-0.17163491558483	0.178407732609299	0	1	1
YLR256W	HAP1	3971.57133096702	0.205605741031553	0.146260177734648	0	1	1
YLR256W-A		85.4163058132244	0.800274783964971	0.185500858719868	0	1	1
tA(AGC)L		7.47444622083539	-0.260459311864273	0.165799888841311	0	1	1
YLR257W		1160.46664899373	0.0764537427335007	0.131249778747018	0	1	1
YLR258W	GSY2	586.066989858757	-0.279080164647543	0.166059972811757	0	1	1
YLR259C	HSP60	7552.87685833943	-0.0521515450693845	0.142467348279826	0	1	1
YLR260W	LCB5	319.192534897151	0.147538724790329	0.170065903622588	0	1	1
YLR261C	VPS63	3.89955307159398	-0.109887371534747	0.131491402079633	0	1	1
YLR262C	YPT6	189.80604640471	-0.191356882104786	0.16153064674193	0	1	1
YLR262C-A	TMA7	1659.99888196036	-0.193044288506774	0.179331631511287	0	1	1
YLR263W	RED1	84.4617126565454	0.2030770662877	0.193514604658667	0	1	1
YLR264W	RPS28B	6887.43430236632	-0.449741224267187	0.159954880374636	0	1	1
YLR264C-A		5.16556679519849	-0.0826524379742341	0.147533177951558	0	1	1
YLR265C	NEJ1	338.41191991363	-0.0984124284444257	0.181274234547981	0	1	1
YLR266C	PDR8	851.979359771436	-0.0324856261369629	0.140465957340285	0	1	1
YLR267W	BOP2	46.7296533352208	-0.0108809480889483	0.193603354706315	0	1	1
YLR268W	SEC22	1635.98195001307	-0.261602930924924	0.124454462525413	0	1	1
YLR269C		3.10948776900706	-0.0558721928876145	0.132019388358973	0	1	1
YLR270W	DCS1	545.29428631408	-0.102442669631557	0.154299082710762	0	1	1
YLR271W		55.7620362004681	0.141829106916428	0.190969933093916	0	1	1
YLR272C	YCS4	385.777713248672	0.123960511616047	0.139192831135686	0	1	1
tV(AAC)L		15.8064248290346	-0.121149651511423	0.195948373105143	0	1	1
YLR273C	PIG1	333.920027369539	0.511578390482513	0.157766657961782	0	1	1
YLR274W	MCM5	926.712289277323	0.25494304629348	0.143945686060263	0	1	1
YLR275W	SMD2	208.690429194345	-0.166102130727809	0.175767568155403	0	1	1
YLR276C	DBP9	1800.12511464927	0.226313830539626	0.155431112865206	0	1	1
YLR277C	YSH1	674.067979064084	0.113901407625091	0.133035468846871	0	1	1
YLR278C		738.759725407737	0.0685529657016096	0.128788513546193	0	1	1
YLR279W		0.160117594620905	-0.0111132100624961	0.0389053605439883	0	1	1
YLR280C		4.55225278741268	0.0155448828557556	0.143904137204823	0	1	1
YLR281C		15.8479748760021	0.261630037628865	0.195785632739067	0	1	1
YLR282C		0.540312376844989	0.0402233644052797	0.0487312701295768	0	1	1
YLR283W		256.167957957443	-0.0934488928517626	0.175402996307147	0	1	1
YLR284C	ECI1	104.482271552094	0.237738212969347	0.176268087317448	0	1	1
YLR285W	NNT1	1085.1069103231	-0.0971001701737937	0.147406391640069	0	1	1
YLR285C-A		1101.64478956518	-0.38664883026567	0.188354819220873	0	1	1
YLR286C	CTS1	34332.5911919669	-0.279892095362707	0.183576884366924	0	1	1
YLR286W-A		2.11702061133311	-0.073285449616843	0.116120004354684	0	1	1
YLR287C		511.590909987106	-0.133114772382493	0.166986103251864	0	1	1
YLR287C-A	RPS30A	9349.15929566618	-0.194539376228478	0.149286809513959	0	1	1
YLR288C	MEC3	285.203660991858	0.0411732483050981	0.164291938428471	0	1	1
YLR289W	GUF1	90.9282417604527	0.186136343997382	0.179856665276246	0	1	1
YLR290C		270.851411929969	-0.0644130508749956	0.172586653809025	0	1	1
YLR291C	GCD7	2805.27561486347	0.0872160435720451	0.114521740042891	0	1	1
YLR292C	SEC72	1246.57863156426	-0.052288704483315	0.146635624997892	0	1	1
YLR293C	GSP1	20560.6985624322	-0.0970375345528222	0.131739813598861	0	1	1
YLR294C		503.447311505121	-0.319513806406696	0.170060896748768	0	1	1
YLR295C	ATP14	914.004950859192	-0.14272819062137	0.157075676065146	0	1	1
YLR296W		2.66276975861208	0.0917770169883652	0.118172301382734	0	1	1
YLR297W		281.958146406679	-0.228554491318126	0.164857711227935	0	1	1
YLR298C	YHC1	214.158684971014	0.0675005190879579	0.177135891804208	0	1	1
YLR299W	ECM38	483.840824442428	0.104597728365696	0.139473742266778	0	1	1
YLR299C-A		0.295195688832152	-0.00259597647345714	0.0448957899952143	0	1	1
YLR300W	EXG1	10936.687900306	-0.808007957910173	0.168204322713442	0	1	1
YLR301W	HRI1	1670.19952133187	-0.0133211058352297	0.150726307157839	0	1	1
tL(UAG)L2		0	NA	NA	NA	NA	NA
YLR302C		0.14821457704505	-0.0111132100624961	0.0389053605439883	0	1	1
YLR303W	MET17	0	NA	NA	NA	NA	NA
tI(AAU)L1		0.524912141922728	-0.0248513333992991	0.0583615172723841	0	1	1
YLR304C	ACO1	4063.27716970223	-0.272413189927221	0.158450827882111	0	1	1
YLR305C	STT4	2750.932600144	0.0551690119755668	0.174091027638589	0	1	1
YLR306W	UBC12	124.719338098201	-0.147803089703731	0.176947664211625	0	1	1
YLR307W	CDA1	28.6932739214956	0.587378498211067	0.199390722839845	0	1	1
YLR307C-A		1.83735247908049	0.164858742219073	0.104946727886673	0	1	1
YLR308W	CDA2	0.56185465990824	-0.0552470773308593	0.0550677532158888	0	1	1
YLR309C	IMH1	422.480350112216	0.0272786847883555	0.182876058203575	0	1	1
YLR310C	CDC25	2128.63996992753	0.0847301331047633	0.118587115429903	0	1	1
YLR311C		2.45422701639498	0.00689247192206469	0.122642121159646	0	1	1
YLR312C		15.2503282529694	0.295050950930886	0.195228060412171	0	1	1
YLR312W-A	MRPL15	220.464762135393	-0.0537676372249843	0.166768593010496	0	1	1
YLR313C	SPH1	113.429617900598	0.0672779791400688	0.181429567081964	0	1	1
YLR314C	CDC3	1150.46227023106	-0.116647957334525	0.135750546098299	0	1	1
YLR315W	NKP2	153.750116693377	-0.390209731141688	0.175925439675949	0	1	1
YLR316C	TAD3	210.44860539007	-0.139919851077886	0.149794950074479	0	1	1
