	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	group
38_17731_CAGATC	29.8779326511542	-1.46971652736529	1.4467791984901	0.950583669964397	2.21530030909716	1.20002417629323	1.56762637260494	0.263352516257275	1.15268771956227	-0.739386175591192	0.269580433429526	-0.266407202276432	-0.983900986060964	1.07189308829605	0.514334762037801	0.429122078290716	0.0556341895753903	-0.122809915410985	-0.485450788466377	-0.439968421681661	-0.0140324226331904	-0.134176446534699	-0.0150977898176099	-0.0321493778877125	0.0623710361782716	-1.29236898960272e-16	-2.52714515980301e-14	2.03656536079677e-14	4.37150315946155e-16	-9.42648736845797e-15	salt:S_cerevisiae_H2A_T77
39_17732_ATCACG	29.0547734680165	-1.40411036922549	1.64367780215961	1.15416830844157	1.85832299653485	1.70956206263072	1.06036788866316	0.12724109517391	-0.558942718723565	-0.337444026585258	-0.80600316394789	-0.15875627478081	0.581547748190658	-0.61541351804849	-0.241283385013554	-0.92391631311831	-0.289880833384307	-0.45667364463639	0.188112954049314	1.01779226520903	-0.130911109216979	0.0946116642513902	0.109417936644769	-0.0961053949934037	-0.0281395009505778	8.03935910898002e-16	-2.40363284831346e-14	2.14342432691694e-14	1.12236608895699e-15	-1.13502957033162e-14	salt:S_cerevisiae_H2A_T77
1_17697_ATCACG	-31.6556969629366	1.42547045055313	0.618275123622623	-1.36243757134247	-0.984067405680257	1.20151508241863	1.32667892566326	-1.03134723426865	0.199979408307904	0.155366706659625	-1.02963933639057	-0.177150598410881	-0.534629098679145	-0.00271315898987885	-0.63119979977438	1.05419539830789	0.282082677364403	0.605079363978645	0.245595422401787	0.672932040340714	0.0505561410415631	-0.0820235691263594	0.262920954163597	0.0837603687401484	-0.0374200178431378	-6.73246181026599e-15	-1.01307850997046e-15	-4.72538674856082e-15	-1.26287869051112e-15	6.29531149431983e-15	basal:S_cerevisiae_H4_mutants
2_17698_GAGTGG	-31.1838461482951	1.88840221299528	0.286351500285838	-1.66549158888219	-1.21007206189095	1.95679743653679	0.66648352062142	0.937309994880828	0.33285604366487	-0.060629025492941	2.13437149733699	0.597971664408803	-0.114258518407976	-0.469169970150454	-0.074704833297139	-0.272523025720873	0.16705352437589	-0.503411503866643	-0.0201934632244956	0.183481122844196	-0.0698664163718889	0.0829536225222491	-0.0500092751005867	0.0316169875801947	-0.107679553218941	-1.00920790821468e-14	2.99760216648792e-15	-2.43000064514831e-14	2.27248775352962e-16	7.46104567017625e-15	basal:S_cerevisiae_H4_mutants
3_17699_ACTTGA	-29.6751399371339	2.43813972991139	-0.117435152968944	0.868784947719122	-2.55400491518752	2.04529016624296	-0.450314337770558	-0.456473267774819	-0.50587552487619	-0.323909695970038	-0.998652122557885	-0.618096423674284	0.661512347303148	0.448617949434339	0.666675915192082	-0.635256550974781	-0.182992268163925	-0.0661275358783097	-0.388945541602065	-0.814055471540977	-0.162300935467135	0.0344088325026506	-0.225604403055452	-0.108990761135717	0.0897913140395091	-9.45017718592678e-15	-4.77395900588817e-15	7.36216643204557e-15	-3.03056191253148e-15	5.75581249329105e-15	basal:S_cerevisiae_H4_mutants
7_17703_TTAGGC	30.4030249207719	-1.66295725009854	-0.31920399442405	0.445487664564616	1.3319638679376	-2.06646526892655	0.138097154473792	-0.68631020098405	0.0243044314055752	0.804658218260711	-0.123847077781841	0.255613341963429	0.379683997781361	0.129091418060738	-0.228449420854914	0.196875898554735	-0.128638422602406	-1.10170373675316	-0.417820777018634	-0.111070857900905	1.08103156475206	-0.0125109010281687	0.145308961063584	-0.18845897852228	0.0661383290344291	-2.09467859724199e-15	-1.73472347597681e-14	-5.44703171456717e-15	7.90686960350229e-15	1.44675937896466e-15	salt:S_cerevisiae_H4_mutants
8_17704_GTCCGC	30.5190352261396	-2.35526808751106	-0.27028277256923	0.485462421210775	2.02724889255936	-2.00789980202284	-0.502027657514953	-0.0302204596606148	0.128495134129082	-0.43240057806584	0.641295598360653	-1.4783043880172	0.0575828470358271	-0.777012639750287	0.501284158389623	0.197738012497792	-0.37133764904568	0.345024930902134	0.535159889953014	-0.0698915622342099	-0.617633373506161	-0.332498582451389	0.0142430765010292	0.00779757054385717	0.0416532957296007	2.06394146565203e-15	-2.60486077152677e-14	3.01009217551496e-14	3.94302646089528e-15	-9.38485400503453e-16	salt:S_cerevisiae_H4_mutants
9_17706_TAGCTT	31.5926229014539	-1.73378705585019	-0.197704703946241	1.22819412673014	1.38893162226176	-1.12923761424898	-1.17891760547296	1.2670411678073	-0.179759492631238	-0.143085625391507	-0.623528558967333	1.41996640373013	-0.449891575033215	0.67118640139554	-0.233606019655274	-0.541029732664767	0.233832138071714	0.721138481617323	0.0462044694903954	0.13860472849119	-0.281786980448436	0.30967059758101	-0.146859313572167	0.174274812793807	-0.0524833677414613	-5.07119303147507e-15	-2.45220510564081e-14	2.15105711021124e-14	4.84855211535518e-15	2.39391839684799e-16	salt:S_cerevisiae_H4_mutants
01NB70_02831AAA_TCAGGA	-28.844774131325	1.30229421110875	-5.42991004304134	-2.23011520025138	3.24818037567134	0.633893299713871	-1.37477182489556	-0.720879428064857	0.533076541915735	-1.54927476718751	-0.163071656514103	0.544433493490486	0.764104313006293	0.0246171403227174	-0.0923242302915911	0.350851426537497	0.359033399506848	-0.352592968003935	0.196749952818791	-0.0823426926436383	-0.0796807181966637	0.071238179277412	0.0560387551050842	0.03354942383305	0.040310306097087	-7.62928674229169e-15	1.64451785522601e-15	-2.18505769034039e-14	4.96304386476965e-15	1.87870552448288e-15	basal:S_cerevisiae_Mariona_with_mutant
02NB70_02832AAA_GATCAC	27.9648312605203	-1.26890145586713	5.39369584424578	1.41630587057307	-2.96883856473393	-0.10367143606827	-0.276837066804215	-0.635122376416801	2.13622324376965	0.210343727380162	-0.258625356693912	0.437138770047813	-0.129167890665036	-0.237919981046855	0.464843832793508	-0.20583031882534	-0.400560635039917	-0.148847511013937	0.72698247937251	0.015169335444815	0.0460163815799781	0.371282779213355	0.023401739956997	0.0552782756402207	-0.0123078633527518	-6.74175884389505e-15	-2.05391259555654e-14	8.42728664629533e-15	1.0175020548342e-14	-1.94635974004598e-15	salt:S_cerevisiae_Mariona_with_mutant
