ACC	BLCA	BRCA	CESC	CHOL	COAD	COADREAD	DLBC	GBM	GBMLGG	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	STES	TGCT	THCA	THYM	UCEC	UCS	UVM
ADM5	0.7	0.53921568627451	0.405555555555556	0.406779661016949	0.305555555555556	0.288248337028825	0.300324675324675	0.145833333333333	0.454072790294627	0.498165137614679	0.346743295019157	0.318181818181818	0.119318181818182	0.0763888888888889	0.0471204188481675	0.54775828460039	0.313513513513514	0.515503875968992	0.610778443113772	0.692573402417962	0.28804347826087	0.135802469135802	0.0792682926829268	0.333333333333333	0.517509727626459	0.370572207084469	0.396825396825397	0.4368	0.566666666666667	0.0220440881763527	0.0569105691056911	0.226345083487941	0.767857142857143	0.0625
ADRA2B	0.322222222222222	0.375	0.297222222222222	0.240677966101695	0.111111111111111	0.19290465631929	0.217532467532468	0.125	0.117850953206239	0.0899082568807339	0.260536398467433	0.727272727272727	0.170454545454545	0.173611111111111	0.00523560209424084	0.0584795321637427	0.221621621621622	0.356589147286822	0.465069860279441	0.433506044905009	0.130434782608696	0.0864197530864197	0.0772357723577236	0.284848484848485	0.389105058365759	0.310626702997275	0.233560090702948	0.288	0.333333333333333	0.0240480961923848	0.016260162601626	0.205936920222635	0.553571428571429	0.1
ADRB2	0.722222222222222	0.534313725490196	0.426851851851852	0.31864406779661	0.416666666666667	0.274944567627494	0.308441558441558	0.166666666666667	0.168110918544194	0.143119266055046	0.448275862068966	0.257575757575758	0.615530303030303	0.159722222222222	0.0890052356020942	0.115009746588694	0.435135135135135	0.550387596899225	0.784431137724551	0.580310880829015	0.222826086956522	0.104938271604938	0.0894308943089431	0.4	0.404669260700389	0.449591280653951	0.36734693877551	0.4192	0.673333333333333	0.0380761523046092	0.0813008130081301	0.200371057513915	0.482142857142857	0.0875
AICDA	0.744444444444444	0.443627450980392	0.383333333333333	0.338983050847458	0.361111111111111	0.332594235033259	0.342532467532468	0.25	0.220103986135182	0.194495412844037	0.396551724137931	0.333333333333333	0.244318181818182	0.402777777777778	0.0261780104712042	0.165692007797271	0.327027027027027	0.532945736434108	0.568862275449102	0.670120898100173	0.331521739130435	0.0864197530864197	0.197154471544715	0.36969696969697	0.478599221789883	0.343324250681199	0.401360544217687	0.4352	0.98	0.0280561122244489	0.0975609756097561	0.23747680890538	0.607142857142857	0.075
AKAP2	0.433333333333333	0.571078431372549	0.407407407407407	0.355932203389831	0.527777777777778	0.274944567627494	0.303571428571429	0.166666666666667	0.261698440207972	0.211009174311927	0.442528735632184	0.272727272727273	0.304924242424242	0.118055555555556	0.0157068062827225	0.153996101364522	0.389189189189189	0.542635658914729	0.658682634730539	0.637305699481865	0.298913043478261	0.0864197530864197	0.142276422764228	0.381818181818182	0.482490272373541	0.561307901907357	0.435374149659864	0.4736	0.526666666666667	0.0661322645290581	0.105691056910569	0.267161410018553	0.785714285714286	0.1375
ALDH8A1	0.388888888888889	0.529411764705882	0.459259259259259	0.379661016949153	0.694444444444444	0.28159645232816	0.308441558441558	0.354166666666667	0.324090121317158	0.24954128440367	0.28735632183908	0.787878787878788	0.297348484848485	0.121527777777778	0.00523560209424084	0.165692007797271	0.462162162162162	0.571705426356589	0.453093812375249	0.744386873920553	0.505434782608696	0.172839506172839	0.111788617886179	0.381818181818182	0.455252918287938	0.656675749318801	0.340136054421769	0.3712	0.28	0.0160320641282565	0.16260162601626	0.205936920222635	0.589285714285714	0.375
ALKBH7	0.655555555555556	0.492647058823529	0.412962962962963	0.444067796610169	0.277777777777778	0.272727272727273	0.300324675324675	0.125	0.448873483535529	0.363302752293578	0.375478927203065	0.318181818181818	0.115530303030303	0.09375	0.0523560209424084	0.267056530214425	0.362162162162162	0.571705426356589	0.590818363273453	0.818652849740933	0.244565217391304	0.154320987654321	0.0833333333333333	0.375757575757576	0.482490272373541	0.405994550408719	0.417233560090703	0.4624	0.573333333333333	0.0280561122244489	0.0569105691056911	0.285714285714286	0.821428571428571	0.0875
ALOXE3	0.455555555555556	0.602941176470588	0.656481481481481	0.410169491525424	0.388888888888889	0.592017738359202	0.625	0.270833333333333	0.221837088388215	0.154128440366972	0.35632183908046	0.757575757575758	0.147727272727273	0.638888888888889	0.0785340314136126	0.0779727095516569	0.643243243243243	0.61046511627907	0.722554890219561	0.844559585492228	0.527173913043478	0.401234567901235	0.284552845528455	0.715151515151515	0.603112840466926	0.460490463215259	0.448979591836735	0.4896	0.546666666666667	0.0480961923847695	0.138211382113821	0.289424860853432	0.839285714285714	0.125
ALPPL2	0.344444444444444	0.54656862745098	0.339814814814815	0.461016949152542	0.25	0.232815964523282	0.25487012987013	0.145833333333333	0.140381282495667	0.140366972477064	0.371647509578544	0.757575757575758	0.225378787878788	0.197916666666667	0.0104712041884817	0.140350877192982	0.264864864864865	0.362403100775194	0.463073852295409	0.530224525043178	0.168478260869565	0.0987654320987654	0.0894308943089431	0.315151515151515	0.466926070038911	0.384196185286104	0.27891156462585	0.3248	0.306666666666667	0.0260521042084168	0.040650406504065	0.224489795918367	0.535714285714286	0.125
AMPD1	0.366666666666667	0.362745098039216	0.448148148148148	0.366101694915254	0.416666666666667	0.310421286031042	0.329545454545455	0.145833333333333	0.18370883882149	0.280733944954128	0.325670498084291	0.818181818181818	0.159090909090909	0.142361111111111	0.0157068062827225	0.389863547758285	0.362162162162162	0.529069767441861	0.560878243512974	0.473229706390328	0.304347826086957	0.728395061728395	0.0833333333333333	0.381818181818182	0.396887159533074	0.455040871934605	0.328798185941043	0.392	0.426666666666667	0.0140280561122244	0.0894308943089431	0.168831168831169	0.589285714285714	0.25
