BLCA	BRCA	CESC	CHOL	COAD	COADREAD	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	PAAD	PCPG	PRAD	READ	SARC	STAD	STES	THCA	THYM	UCEC
ADRB2	-1.76087990556678	-2.97803258519118	-0.239038874086814	-4.90903033713575	-2.1844333033144	-2.16646338009593	-0.80817292057051	1.48045559285334	-0.088045079941509	0.129495764755745	-1.09507793632458	-3.31288646990525	-3.08635671984008	-1.22553820087173	1.01427671295729	0.759734699808451	-1.90808096939557	0.107084824393251	-2.28388093359859	-2.2615289884566	-0.673625104692409	-1.61334120174801	-2.84730861663822
AICDA	-2.26319573207079	-0.282408201830963	-0.836005052544209	0.71188512217366	-2.45404892068768	-2.69780372926357	0.577841209196614	-0.58348209142168	4.02908894015868	3.80756122642052	0.422696497415421	-0.555595418759247	-2.05410258788444	-2.20018606862908	0.320373570824219	-0.425155446475159	-2.38672674561988	-0.418530030694397	0.941295159108786	1.18801929370371	-2.34552571500307	-0.88966559685034	-0.891948380592943
AKAP2	-2.37386240154349	-1.55674697685074	-4.08710383058257	-1.16578208699506	-0.797150744298239	-0.918595634097436	-0.0275306211764393	0.976304249268248	-0.0932216512494197	-1.19273283032997	-1.07464775070048	-2.35054843491143	-3.15565635551866	-1.2329723777529	1.53606133576395	-0.749440800844128	-1.36500998368212	0.800835947339741	-0.923189669950961	-0.979291789911432	-1.28033618147177	0.213845050702109	-3.04195009511944
ALDH8A1	-1.37923385533266	-0.353248649111025	-2.39486539811007	-5.87109697400995	-0.173989894499458	-0.413280524592814	0.134138094326529	-6.4675535132564	-0.843128112236253	-0.62768591150344	-2.14563393071073	-1.05399751537609	0.453631329047071	-0.492649985943154	-0.826280281166967	-0.566867360871816	-1.58111640459232	-3.20752707727271	-0.539355620217249	-0.567608806900995	-0.754333352374337	-0.498011208377639	-0.173323918165983
ALKBH7	-0.227125611297697	0.184374707476859	0.286992968267162	-1.51674739990253	-0.540147810064871	-0.638884429790615	-0.910083463269691	0.817390041432616	-0.209398344100657	0.0538754607978553	-0.338525086444459	-0.33927475369055	-0.164228168898917	0.0102947625216	-0.632632616201267	0.0997995980913703	-1.02906323513926	-1.0781384026038	-0.69702759835388	-0.704826671038221	-0.065833208641066	0.215997034341074	-0.155645145458755
ALOXE3	1.24495946470303	0.792428036187266	4.67682478311865	2.34991669083979	2.47874982126994	2.2956081700668	0.393960576572481	-1.21194639738351	-0.0666967248504422	1.62118866622587	0.399065220761225	2.43178451688117	4.62198334487924	1.95533974575563	4.1351580806121	0.794403786789041	0.986798414957307	-0.398851358836435	-0.333114224993954	0.593243915415168	0.776406580496719	-0.0726965989834876	-0.214901397065499
AMPD1	-1.05701540854037	-2.83340493708809	-1.97754801325382	-1.01077059603011	-3.89591484074507	-4.00805166588042	-3.3966160889968	-3.28771759591824	0.587750172021262	-1.19854941953045	-2.52062408786912	0.298334073553519	-1.60539277709517	-0.967443058692505	0.929943064218778	-1.20954169549063	-3.90900387826258	0.515869181443962	-2.65003969935139	-2.39753583966726	-0.309580403156973	-3.64210165387691	-3.14545735249302
ANKRD13D	0.498647890298095	0.490740725755276	0.828067596687418	1.8479326087702	0.655625739299012	0.651783147947968	0.242962504132933	0.17903233560159	0.43765422630807	0.435690703547483	0.563417189186393	0.240750192394244	0.361006973039549	-0.111209723973143	1.16607256379227	-0.125173618693628	0.667923240654288	0.217087021028877	0.341439926373629	0.431060317919746	0.875107883488825	-0.0134753969949771	0.441012141057728
ANKRD26P1	0.654307948713896	-0.933630780201033	0.0470166165755067	-0.233673451975705	0.30117224058741	0.279433700591779	0.0866923428655196	1.30459148096223	-0.174709022257425	0.638057855712132	0.615311577580327	0.349361569793413	-0.395648702827884	-0.124466576890666	-0.834109547508656	0.0338663758294607	0.104910922370837	NA	0.619946583344405	1.85836206013391	-0.494049769723386	3.19251553427558	0.0972794592151168
ANKRD34A	-0.183137295186424	0.0306084510743554	-1.97420598057812	0.312093524034384	-0.0891411501667921	-0.13976918003583	-0.464803472935958	-1.08973169146724	0.459876969836915	0.574927617824396	0.994339343074004	0.867716519566442	0.277579811782709	0.234821343212996	2.50162304221461	-0.0774764143832035	-0.287384011339708	0.640670086127727	-0.837408029514108	-0.647989203286545	-0.397657156197575	-0.278903499567414	-0.755255887208704
