ensembl_gene_id	external_gene_name	log2FoldChange	lfcSE	padj	stressType
YOR020W-A		1.66966240543682	0.0976323478987047	5.57492328763015e-11	upregulated
YOR021C	SFM1	-1.53722110804631	0.103671293851223	1.48152931859596e-06	downregulated
YOR022C		1.05130100525872	0.0770848154111304	1	unresponsive
YOR023C	AHC1	0.76120403110809	0.0646374637924239	1	unresponsive
YOR024W		1.46505800811722	0.293338293770897	0.489250289124782	unresponsive
YOR025W	HST3	-0.241107408355999	0.0660023127236918	1	unresponsive
YOR026W	BUB3	-0.342939604887147	0.089231163860325	1	unresponsive
YOR027W	STI1	1.31943686995125	0.113731509125599	0.0259297435519236	upregulated
YOR028C	CIN5	3.59033419699598	0.12715090295799	1.17421508564395e-90	upregulated
YOR029W		1.15902963700882	0.507497845759742	1	unresponsive
YOR030W	DFG16	0.319979483720003	0.0716378243702196	1	unresponsive
YOR031W	CRS5	0.822829556516376	0.120035945934704	1	unresponsive
YOR032C	HMS1	0.928273714035856	0.198251335988312	1	unresponsive
YOR032W-A		0.374687205385715	0.228916027352568	1	unresponsive
YOR033C	EXO1	-0.00732647111860942	0.0948195439991302	1	unresponsive
YOR034C	AKR2	-0.541726929113404	0.0837319345355167	1	unresponsive
YOR034C-A		1.0695508908826	0.125864778228318	1	unresponsive
YOR035C	SHE4	1.11728078092962	0.0618211644667264	0.262277246494843	unresponsive
YOR036W	PEP12	1.97003231512987	0.0941778667470102	8.34324795807172e-24	upregulated
YOR037W	CYC2	0.434931148815661	0.0749832037910472	1	unresponsive
YOR038C	HIR2	-0.258279548097663	0.0530606662368759	1	unresponsive
YOR039W	CKB2	-0.102796806368182	0.0654303629728488	1	unresponsive
YOR040W	GLO4	0.862114064889397	0.0928835891031014	1	unresponsive
YOR041C		0.824754612996103	0.182897587252261	1	unresponsive
YOR042W	CUE5	0.81296151203698	0.0643464818114685	1	unresponsive
YOR043W	WHI2	-0.357591087756527	0.0414223286152094	1	unresponsive
YOR044W	IRC23	0.674469749259522	0.108694963382839	1	unresponsive
YOR045W	TOM6	-1.23104506246515	0.101602302627992	0.111086431395293	unresponsive
YOR046C	DBP5	-0.624995223666295	0.0655928102631927	1	unresponsive
YOR047C	STD1	-0.509842837312258	0.0798006612848157	1	unresponsive
YOR048C	RAT1	-1.47584691306808	0.0505948736881713	5.54271819231013e-20	downregulated
YOR049C	RSB1	1.45362232689834	0.184488016466274	0.0690702303830616	unresponsive
YOR050C		0.295638245789066	0.25443013171176	1	unresponsive
YOR051C	ETT1	-1.11542987213921	0.0790768705245757	0.615419300926335	unresponsive
YOR052C	TMC1	2.49381419331736	0.0830167107783457	6.46225584119932e-71	upregulated
YOR053W		0.644413485461972	0.262437503186581	1	unresponsive
YOR054C	VHS3	2.21804768298674	0.0978977865712455	2.37941221824993e-34	upregulated
YOR055W		1.59894034976711	0.279204965149884	0.150080050838382	unresponsive
YOR056C	NOB1	-2.47152129452291	0.114006449571449	6.68351074184566e-37	downregulated
YOR057W	SGT1	0.307473309338966	0.0672205171817237	1	unresponsive
YOR058C	ASE1	-0.286888470577358	0.0978516313095723	1	unresponsive
YOR059C	LPL1	0.819932956820735	0.0798013730621857	1	unresponsive
YOR060C	SLD7	-0.0219784631098723	0.0888348582376931	1	unresponsive
YOR061W	CKA2	-0.566117781739697	0.0499623889596094	1	unresponsive
YOR062C		3.38134849378859	0.144630513661721	1.57971395620846e-59	upregulated
YOR063W	RPL3	-1.68910998486192	0.139255469885508	4.96091294402962e-06	downregulated
YOR064C	YNG1	-0.129447063328451	0.0825860609615107	1	unresponsive
YOR065W	CYT1	1.35318861641779	0.0666425497975527	7.92044438303072e-07	upregulated
YOR066W	MSA1	0.109697287692845	0.0508218587839994	1	unresponsive
YOR067C	ALG8	-0.234268973509818	0.10225580077323	1	unresponsive
YOR068C	VAM10	1.0955893304044	0.280768495239248	1	unresponsive
YOR069W	VPS5	0.806677820660836	0.0712976414295614	1	unresponsive
YOR070C	GYP1	0.591924173700994	0.0455483466604282	1	unresponsive
YOR071C	NRT1	0.295013990984224	0.0953323850432373	1	unresponsive
YOR072W		0.608377287043809	0.180189384336959	1	unresponsive
YOR072W-A		0.165442984768903	0.19590509350222	1	unresponsive
YOR072W-B		-0.0252680073445506	1.08110613245547	NA	unresponsive
YOR073W	SGO1	-0.376106501677741	0.0976055501162836	1	unresponsive
YOR073W-A		-0.215443102928149	0.386957844644186	1	unresponsive
YOR074C	CDC21	-0.715493778488167	0.0940743385949954	1	unresponsive
YOR075W	UFE1	0.387642403553541	0.121618386651425	1	unresponsive
YOR076C	SKI7	0.567771127382427	0.120658948971272	1	unresponsive
YOR077W	RTS2	-0.0797765565491094	0.105828224657132	1	unresponsive
YOR078W	BUD21	-1.9723638960351	0.114940881546251	2.56409597669396e-16	downregulated
YOR079C	ATX2	-0.420685210456226	0.0899460674163396	1	unresponsive
YOR080W	DIA2	0.0446237347024685	0.108445331426544	1	unresponsive
YOR081C	TGL5	0.368200014955145	0.0720034545539416	1	unresponsive
YOR082C		0.105873014233974	0.332577796000906	1	unresponsive
YOR083W	WHI5	-0.0206764629300803	0.130916334768022	1	unresponsive
YOR084W	LPX1	-0.361689859008381	0.126461639245648	1	unresponsive
YOR085W	OST3	-0.477349690677673	0.0985789401798839	1	unresponsive
YOR086C	TCB1	0.891445277076677	0.0868795725586964	1	unresponsive
YOR087W	YVC1	0.368623950225942	0.0694877327692982	1	unresponsive
YOR089C	VPS21	0.519533812559298	0.068653253444432	1	unresponsive
YOR090C	PTC5	0.622637919328821	0.0466080469257039	1	unresponsive
YOR091W	TMA46	-1.90163797308926	0.110447777680551	3.01448410821831e-15	downregulated
YOR092W	ECM3	0.710440646119413	0.0999564622982484	1	unresponsive
YOR093C		0.146115286204365	0.0741820776541025	1	unresponsive
YOR094W	ARF3	-0.0303138523682469	0.0760955374251056	1	unresponsive
YOR095C	RKI1	-3.48659751446834	0.201343742059255	7.36491201103919e-34	downregulated
YOR096W	RPS7A	-1.1579389773466	0.153292417765157	1	unresponsive
YOR097C		0.528588075104283	0.0992278421786942	1	unresponsive
YOR098C	NUP1	-0.840184087270416	0.0620932924449434	1	unresponsive
YOR099W	KTR1	-0.440028145011052	0.0985231376027876	1	unresponsive
YOR100C	CRC1	1.84357797282332	0.148187754505567	8.90674393421243e-08	upregulated
YOR101W	RAS1	-2.52331132334943	0.0560306838525654	8.26318830869009e-161	downregulated
YOR102W		-1.08587766488293	0.233549909978569	1	unresponsive
YOR103C	OST2	-0.468025777809819	0.104115209456657	1	unresponsive
YOR104W	PIN2	-0.290734068498606	0.0954901877087045	1	unresponsive
YOR105W		-0.725434574554986	0.263551375587618	1	unresponsive
YOR106W	VAM3	-0.149787997162298	0.0755705518700376	1	unresponsive
YOR107W	RGS2	-0.605225782656321	0.150894166736324	1	unresponsive
YOR108C-A		-1.54770449472731	0.327556015209762	0.414713508384535	unresponsive
YOR108W	LEU9	-2.55086329005103	0.13836382409777	4.89069472932275e-28	downregulated
YOR109W	INP53	0.143647375246051	0.0609155123291555	1	unresponsive
YOR110W	TFC7	0.543213497171563	0.0620917598537754	1	unresponsive
YOR111W		0.0293795046201179	0.0794142742585378	1	unresponsive
YOR112W	CEX1	0.207984008169687	0.0498817689975518	1	unresponsive
YOR113W	AZF1	1.08457489186644	0.0868103126580944	1	unresponsive
YOR114W		0.667019411117899	0.0961944816247598	1	unresponsive
YOR115C	TRS33	-0.451027389729357	0.0727835307624585	1	unresponsive
YOR116C	RPO31	-1.45930360042114	0.0604419581373178	2.58364229865339e-13	downregulated
YOR117W	RPT5	0.453249363713893	0.0499323502464002	1	unresponsive
YOR118W	RTC5	0.128574601678209	0.0726053153885184	1	unresponsive
YOR119C	RIO1	-2.01569627283094	0.134360237870819	3.49629542951934e-13	downregulated
YOR120W	GCY1	2.46737313524064	0.134017374086238	8.67926475429697e-27	upregulated
YOR121C		0.867699218024629	0.166320879145124	1	unresponsive
YOR122C	PFY1	0.0722269311524249	0.0766013935117404	1	unresponsive
YOR123C	LEO1	-0.501314254234605	0.0857917409376319	1	unresponsive
YOR124C	UBP2	0.973430483083145	0.106434594366024	1	unresponsive
YOR125C	CAT5	0.595517449560237	0.0623680995970523	1	unresponsive
YOR126C	IAH1	-0.00603430840333704	0.0713219878000645	1	unresponsive
YOR127W	RGA1	-0.0783185223778873	0.0714935424572009	1	unresponsive
YOR128C	ADE2	0.03496244395533	0.0963831239950845	1	unresponsive
YOR129C	AFI1	-0.110229030994697	0.0820392632290029	1	unresponsive
YOR130C	ORT1	0.323950773041384	0.0462122547123646	1	unresponsive
YOR131C		0.395727232026829	0.0606544340152039	1	unresponsive
YOR132W	VPS17	1.15888050767927	0.0474351695894057	0.00446752390860775	upregulated
YOR133W	EFT1	-0.587992278608793	0.125957831941925	1	unresponsive
YOR134W	BAG7	4.63310174841859	0.190865610387708	2.98935919593438e-79	upregulated
YOR135C	IRC14	0.727695884803461	0.220661147388417	1	unresponsive
YOR136W	IDH2	0.784801787033523	0.113557775881051	1	unresponsive
YOR137C	SIA1	1.90429349973124	0.0690756234145615	6.11665146741829e-38	upregulated
